candidate_id,candidate_type,mean_label,arch_mean,arch_lags,arima_p,arima_q,volatility_label,arch_vol,p,o,q,distribution,volatility_group,is_asymmetric,is_heavy_tail,status,forecast_policy,validation_n_obs,validation_RMSE,validation_MAE,validation_QLIKE,test_n_obs,test_RMSE,test_MAE,test_QLIKE,warnings,aic,bic,converged,loglikelihood,n_params,fit_rows,context_rows,arima_aic,arima_bic,arima_converged,arima_warnings,garch_warnings,garch_aic,garch_bic,garch_converged,garch_loglikelihood,garch_n_params
direct_zero_arch_1_normal,direct_arch,Zero,Zero,0,,,ARCH(1),ARCH,1,0,0,normal,ARCH,False,False,success,fixed_train_parameters_recursive_state_updates,750,4.891410422800658,2.208982994718933,1.8179699062864965,745,3.7086482817629007,1.424016885549455,1.0949861751727377,,7302.798698353565,7314.423454765542,True,-3649.3993491767824,2.0,2471.0,3968.0,,,,,,,,,,
direct_zero_arch_1_t,direct_arch,Zero,Zero,0,,,ARCH(1),ARCH,1,0,0,t,ARCH,False,True,success,fixed_train_parameters_recursive_state_updates,750,4.901483493939063,2.237663971998978,1.8099846646848576,745,3.7225164226484315,1.4493407383896018,1.0934815945444385,,7152.67106939538,7170.108204013346,True,-3573.33553469769,3.0,2471.0,3968.0,,,,,,,,,,
direct_zero_arch_1_skewt,direct_arch,Zero,Zero,0,,,ARCH(1),ARCH,1,0,0,skewt,ARCH,False,True,success,fixed_train_parameters_recursive_state_updates,750,4.899531530170145,2.2428458665017477,1.8019069586079486,745,3.7225045413956193,1.4568931786667236,1.0939906402830097,,7130.086794332306,7153.336307156261,True,-3561.043397166153,4.0,2471.0,3968.0,,,,,,,,,,
direct_zero_arch_1_ged,direct_arch,Zero,Zero,0,,,ARCH(1),ARCH,1,0,0,ged,ARCH,False,True,success,fixed_train_parameters_recursive_state_updates,750,4.89738952392851,2.2158201400246242,1.824179905333293,745,3.714320480216612,1.4266006064418806,1.0939389917357387,,7151.979620092396,7169.416754710362,True,-3572.989810046198,3.0,2471.0,3968.0,,,,,,,,,,
direct_zero_arch_2_normal,direct_arch,Zero,Zero,0,,,ARCH(2),ARCH,2,0,0,normal,ARCH,False,False,success,fixed_train_parameters_recursive_state_updates,750,4.8180221113753365,2.2221175290089903,1.7730797847962094,745,3.480208358219594,1.3823697113046498,1.0411475879978813,,7197.015558328871,7214.452692946837,True,-3595.5077791644353,3.0,2471.0,3968.0,,,,,,,,,,
direct_zero_arch_2_t,direct_arch,Zero,Zero,0,,,ARCH(2),ARCH,2,0,0,t,ARCH,False,True,success,fixed_train_parameters_recursive_state_updates,750,4.834033920898237,2.2677378053346304,1.7803878879180897,745,3.458937417846458,1.4015657684870833,1.0408409213096816,,7064.89162710182,7088.141139925774,True,-3528.44581355091,4.0,2471.0,3968.0,,,,,,,,,,
direct_zero_arch_2_skewt,direct_arch,Zero,Zero,0,,,ARCH(2),ARCH,2,0,0,skewt,ARCH,False,True,success,fixed_train_parameters_recursive_state_updates,750,4.8315922174607975,2.2704375449117062,1.7716099975161326,745,3.4618205294492657,1.4079970955274175,1.0408532041587353,,7042.4120191160855,7071.473910146028,True,-3516.2060095580428,5.0,2471.0,3968.0,,,,,,,,,,
direct_zero_arch_2_ged,direct_arch,Zero,Zero,0,,,ARCH(2),ARCH,2,0,0,ged,ARCH,False,True,success,fixed_train_parameters_recursive_state_updates,750,4.826039025229652,2.2414905964516323,1.7836563217710713,745,3.466845800395438,1.3868144083839125,1.0408782586404273,,7073.743596833032,7096.993109656986,True,-3532.871798416516,4.0,2471.0,3968.0,,,,,,,,,,
direct_zero_arch_3_normal,direct_arch,Zero,Zero,0,,,ARCH(3),ARCH,3,0,0,normal,ARCH,False,False,success,fixed_train_parameters_recursive_state_updates,750,4.742700091632618,2.2294397466818556,1.6928730979842768,745,3.5265298448535525,1.3868681718858134,1.0556028706687608,,7141.368413194834,7164.617926018788,True,-3566.684206597417,4.0,2471.0,3968.0,,,,,,,,,,
direct_zero_arch_3_t,direct_arch,Zero,Zero,0,,,ARCH(3),ARCH,3,0,0,t,ARCH,False,True,success,fixed_train_parameters_recursive_state_updates,750,4.752809573919489,2.268774806879639,1.701461477016234,745,3.528452226524444,1.4100413146682882,1.0605743253216462,,7021.6020423801265,7050.663933410069,True,-3505.8010211900632,5.0,2471.0,3968.0,,,,,,,,,,
direct_zero_arch_3_skewt,direct_arch,Zero,Zero,0,,,ARCH(3),ARCH,3,0,0,skewt,ARCH,False,True,success,fixed_train_parameters_recursive_state_updates,750,4.750889135308367,2.273603338588832,1.6945595696977678,745,3.5370331352396156,1.4180394595044121,1.060281224307139,,6997.553555719838,7032.42782495577,True,-3492.776777859919,6.0,2471.0,3968.0,,,,,,,,,,
direct_zero_arch_3_ged,direct_arch,Zero,Zero,0,,,ARCH(3),ARCH,3,0,0,ged,ARCH,False,True,success,fixed_train_parameters_recursive_state_updates,750,4.747378424976649,2.2476245914577304,1.7015264228663498,745,3.52509418684165,1.3948663150721599,1.0587601093366825,,7033.349530919666,7062.411421949609,True,-3511.674765459833,5.0,2471.0,3968.0,,,,,,,,,,
direct_zero_arch_5_normal,direct_arch,Zero,Zero,0,,,ARCH(5),ARCH,5,0,0,normal,ARCH,False,False,success,fixed_train_parameters_recursive_state_updates,750,4.739756576789409,2.244702585572709,1.6887651561756065,745,3.5323570107010718,1.368779498437635,1.0456497051615818,,7113.971254552047,7148.845523787979,True,-3550.9856272760235,6.0,2471.0,3968.0,,,,,,,,,,
direct_zero_arch_5_t,direct_arch,Zero,Zero,0,,,ARCH(5),ARCH,5,0,0,t,ARCH,False,True,success,fixed_train_parameters_recursive_state_updates,750,4.753526178461342,2.2932506152843906,1.7085847955764015,745,3.5462952533165,1.396637826208763,1.0527460932494863,,6995.146376626531,7035.833024068451,True,-3490.5731883132653,7.0,2471.0,3968.0,,,,,,,,,,
direct_zero_arch_5_skewt,direct_arch,Zero,Zero,0,,,ARCH(5),ARCH,5,0,0,skewt,ARCH,False,True,success,fixed_train_parameters_recursive_state_updates,750,4.755184221081694,2.2996427694120847,1.7035454514603234,745,3.556237546605353,1.4034536128372623,1.0528415767108723,,6965.618337447591,7012.1173630955,True,-3474.8091687237957,8.0,2471.0,3968.0,,,,,,,,,,
direct_zero_arch_5_ged,direct_arch,Zero,Zero,0,,,ARCH(5),ARCH,5,0,0,ged,ARCH,False,True,success,fixed_train_parameters_recursive_state_updates,750,4.745425575456617,2.2682237204249276,1.7021235415462228,745,3.5375759801334223,1.379923726523381,1.0497686587210278,,7011.205362556819,7051.892009998739,True,-3498.6026812784094,7.0,2471.0,3968.0,,,,,,,,,,
direct_zero_garch_1_1_normal,direct_arch,Zero,Zero,0,,,"GARCH(1,1)",GARCH,1,0,1,normal,GARCH,False,False,success,fixed_train_parameters_recursive_state_updates,750,4.71618128322787,2.3642200722993714,1.630838418940952,745,3.6351041549982246,1.4124440023395082,1.0692927568209043,,7029.641463568485,7047.078598186451,True,-3511.8207317842425,3.0,2471.0,3968.0,,,,,,,,,,
direct_zero_garch_1_1_t,direct_arch,Zero,Zero,0,,,"GARCH(1,1)",GARCH,1,0,1,t,GARCH,False,True,success,fixed_train_parameters_recursive_state_updates,750,4.721608847263568,2.3791013967580983,1.637258549142567,745,3.6354079518557962,1.4195597183166586,1.072803736706837,,6934.316312344759,6957.565825168714,True,-3463.1581561723797,4.0,2471.0,3968.0,,,,,,,,,,
direct_zero_garch_1_1_skewt,direct_arch,Zero,Zero,0,,,"GARCH(1,1)",GARCH,1,0,1,skewt,GARCH,False,True,success,fixed_train_parameters_recursive_state_updates,750,4.722185297965997,2.386279068758552,1.6336753857878508,745,3.638490642478281,1.4248122654317403,1.072244590757411,,6903.457938816148,6932.519829846091,True,-3446.728969408074,5.0,2471.0,3968.0,,,,,,,,,,
direct_zero_garch_1_1_ged,direct_arch,Zero,Zero,0,,,"GARCH(1,1)",GARCH,1,0,1,ged,GARCH,False,True,success,fixed_train_parameters_recursive_state_updates,750,4.718548540393747,2.3701104966468685,1.6349968336701346,745,3.634380592956532,1.4148274981774285,1.07131802377272,,6949.827613805948,6973.0771266299025,True,-3470.913806902974,4.0,2471.0,3968.0,,,,,,,,,,
direct_zero_garch_1_2_normal,direct_arch,Zero,Zero,0,,,"GARCH(1,2)",GARCH,1,0,2,normal,GARCH,False,False,success,fixed_train_parameters_recursive_state_updates,750,4.716226289348398,2.364081875783516,1.6307384645528267,745,3.6352778548677365,1.4124718091664845,1.0694116749607114,,7031.63945253567,7054.888965359624,True,-3511.819726267835,4.0,2471.0,3968.0,,,,,,,,,,
