model,mean_qlike_loss,mean_loss_rank,included_in_MCS_90,included_in_MCS_95,elimination_step_90,mcs_p_value_90,elimination_step_95,mcs_p_value_95,method,bootstrap_replications,block_length
AdvGARCH-BestHeavyTail,1.0212715443359264,1,True,True,,,,,documented_approximation_block_bootstrap_range_statistic,300,27
AdvGARCH-BestAsymmetric,1.0214125166477663,2,True,True,,,,,documented_approximation_block_bootstrap_range_statistic,300,27
AdvGARCH-BestQLIKE,1.0228981487596087,3,True,True,,,,,documented_approximation_block_bootstrap_range_statistic,300,27
AdvGARCH-BestARIMA,1.0228981487596087,4,True,True,,,,,documented_approximation_block_bootstrap_range_statistic,300,27
Refit-BestGARCHFamily-fixed_train_only,1.0228981487596087,5,True,True,,,,,documented_approximation_block_bootstrap_range_statistic,300,27
ComboPair-BestGARCHFamily_HybridQLIKE,1.0262653123459162,6,True,True,,,,,documented_approximation_block_bootstrap_range_statistic,300,27
ComboMean-PoolA_Econometric,1.0376632322714001,7,True,True,,,,,documented_approximation_block_bootstrap_range_statistic,300,27
ComboMedian-PoolA_Econometric,1.040306633303453,8,True,True,,,,,documented_approximation_block_bootstrap_range_statistic,300,27
ComboStack-PoolA_Econometric,1.0424057272556355,9,True,True,,,,,documented_approximation_block_bootstrap_range_statistic,300,27
ComboPair-BestRefitGARCH_HybridQLIKE,1.0471818808486189,10,True,True,,,,,documented_approximation_block_bootstrap_range_statistic,300,27
ComboStack-PoolB_GARCH_Neural,1.0476758713955616,11,True,True,,,,,documented_approximation_block_bootstrap_range_statistic,300,27
Refit-OriginalGARCH-expanding_quarterly,1.049903744110079,12,True,True,,,,,documented_approximation_block_bootstrap_range_statistic,300,27
Refit-OriginalARIMAGARCH-expanding_quarterly,1.050878634196105,13,True,True,,,,,documented_approximation_block_bootstrap_range_statistic,300,27
ComboPair-GARCH11_ARIMAGARCH,1.0528883385999728,14,True,True,,,,,documented_approximation_block_bootstrap_range_statistic,300,27
"GARCH(1,1)",1.0528883385999728,15,True,True,,,,,documented_approximation_block_bootstrap_range_statistic,300,27
AdvGARCH-BestSymmetric,1.0534564859360493,16,True,True,,,,,documented_approximation_block_bootstrap_range_statistic,300,27
ARIMA-GARCH,1.055678688239123,17,True,True,,,,,documented_approximation_block_bootstrap_range_statistic,300,27
ComboPair-GARCH11_HybridQLIKE,1.0584746060370984,18,True,True,,,,,documented_approximation_block_bootstrap_range_statistic,300,27
Refit-BestAsymmetric-rolling_1000_monthly,1.059756232776998,19,True,True,,,,,documented_approximation_block_bootstrap_range_statistic,300,27
