base_model,model,method,pred_actual_ratio,spike_underprediction_rate,extreme_threshold_p90,test_QLIKE,test_MAE
LSTM,LSTM,raw,1.298682605685497,1.0,2.3761147014451307,1.1638616895994396,1.643025251575996
LSTM,Calibrated-LSTM-scale_qlike,scale_qlike,1.4571458498600869,1.0,2.3761147014451307,1.2007391816181963,1.7753369043265672
LSTM,Calibrated-LSTM-scale_mean,scale_mean,1.552075645205757,1.0,2.3761147014451307,1.2246281404782866,1.8580444111397658
LSTM,Calibrated-LSTM-affine_nonnegative,affine_nonnegative,1.4733398885551157,1.0,2.3761147014451307,1.2047425215591754,1.7892928868276172
LSTM,Calibrated-LSTM-isotonic,isotonic,1.251164130262857,0.96,2.3761147014451307,1.1302191645097572,1.5957577335455533
ARIMA-GARCH-LSTM,ARIMA-GARCH-LSTM,raw,1.4108851238077542,1.0,2.3761147014451307,1.1729861197030997,1.726914093400247
ARIMA-GARCH-LSTM,Calibrated-ARIMA-GARCH-LSTM-scale_qlike,scale_qlike,1.4773780911594272,1.0,2.3761147014451307,1.1893426551037671,1.7837867001850878
ARIMA-GARCH-LSTM,Calibrated-ARIMA-GARCH-LSTM-scale_mean,scale_mean,1.5509862159806773,0.9733333333333334,2.3761147014451307,1.2080613677055931,1.8477993824525085
ARIMA-GARCH-LSTM,Calibrated-ARIMA-GARCH-LSTM-affine_nonnegative,affine_nonnegative,1.4688873555968562,1.0,2.3761147014451307,1.1919415272024492,1.7798099667293246
ARIMA-GARCH-LSTM,Calibrated-ARIMA-GARCH-LSTM-isotonic,isotonic,1.26199686232366,1.0,2.3761147014451307,1.1343015950518274,1.5924635867705437
LSTM-QLIKE,LSTM-QLIKE,raw,1.3767061643844163,1.0,2.3761147014451307,1.187247889767682,1.7138011313249966
LSTM-QLIKE,Calibrated-LSTM-QLIKE-scale_qlike,scale_qlike,1.6174887064054284,0.9866666666666667,2.3761147014451307,1.2469791675524433,1.923608282527636
LSTM-QLIKE,Calibrated-LSTM-QLIKE-scale_mean,scale_mean,1.682124533233835,0.9866666666666667,2.3761147014451307,1.2638734352430752,1.982292124350191
LSTM-QLIKE,Calibrated-LSTM-QLIKE-affine_nonnegative,affine_nonnegative,1.599409665846436,1.0,2.3761147014451307,1.2436736053276785,1.9086061470812021
LSTM-QLIKE,Calibrated-LSTM-QLIKE-isotonic,isotonic,1.3505823827472565,0.96,2.3761147014451307,1.138124995217818,1.6590443888955115
Hybrid-QLIKE,Hybrid-QLIKE,raw,1.5179325922275424,1.0,2.3761147014451307,1.2319076726800817,1.841543459680507
