model,family,selected_by,uses_test_for_selection,validation_RMSE,validation_MAE,validation_QLIKE,test_RMSE,test_MAE,test_QLIKE,test_rank_QLIKE,test_rank_RMSE,test_rank_MAE,pred_actual_ratio,spike_underprediction_rate,included_in_MCS_90,included_in_MCS_95,notes
ComboPair-BestGARCHFamily_HybridQLIKE,forecast_combination,validation_QLIKE_forecast_combination,False,4.731310826367151,2.2644873553041327,1.5801039114651367,3.607899619656155,1.431154554277245,1.0262653123459162,1.0,12.0,18.0,1.0980235162682865,0.9726027397260274,True,True,
AdvGARCH-BestAsymmetric,advanced_garch_family,validation_QLIKE_garch_family,False,4.6804723925899925,2.212850923105695,1.6122722564450298,3.543267175153964,1.3211597805752873,1.0299916811125422,2.0,2.0,5.0,0.9382454513010579,0.9733333333333334,True,True,
AdvGARCH-BestHeavyTail,advanced_garch_family,validation_QLIKE_garch_family,False,4.6726799483471195,2.2057613972952845,1.6117770727858574,3.529047612058241,1.32750621328531,1.0315359747264947,3.0,1.0,9.0,0.9529110520373685,0.9466666666666667,True,True,
AdvGARCH-BestARIMA,advanced_garch_family,validation_QLIKE_garch_family,False,4.6858598440437635,2.2023521831092543,1.611303620133235,3.561391099658911,1.3246053463757665,1.0325481138224148,4.0,5.0,6.0,0.9357991229748652,0.9466666666666667,True,True,
AdvGARCH-BestQLIKE,advanced_garch_family,validation_QLIKE_garch_family,False,4.6858598440437635,2.2023521831092543,1.611303620133235,3.561391099658911,1.3246053463757665,1.0325481138224148,4.0,5.0,6.0,0.9357991229748652,0.9466666666666667,True,True,
Refit-BestGARCHFamily-fixed_train_only,refit_garch,validation_QLIKE_refit_protocol,False,4.6858598440437635,2.2023521831092543,1.611303620133235,3.561391099658911,1.3246053463757665,1.0325481138224148,4.0,5.0,6.0,0.9357991229748652,0.9466666666666667,True,True,
ComboPair-BestRefitGARCH_HybridQLIKE,forecast_combination,validation_QLIKE_forecast_combination,False,4.711024139994932,2.3260599458661564,1.577374839634468,3.5950157491781276,1.4915852176072453,1.0471818808486189,7.0,9.0,23.0,1.1908406356633168,0.9452054794520548,True,True,
ComboMean-PoolA_Econometric,forecast_combination,validation_QLIKE_forecast_combination,False,4.685732194537854,2.2947310215363528,1.6114728215362046,3.5905540960041185,1.3885038135711099,1.0473020279438494,8.0,8.0,11.0,1.0234327418638278,0.9466666666666667,True,True,
ComboStack-PoolB_GARCH_Neural,forecast_combination,validation_QLIKE_forecast_combination,False,4.711142955054791,2.3264847372643747,1.5773709025487124,3.5955644257507386,1.4932102999009034,1.0476758713955616,9.0,10.0,24.0,1.19281682226176,0.9452054794520548,True,True,
ComboMedian-PoolA_Econometric,forecast_combination,validation_QLIKE_forecast_combination,False,4.691354366033603,2.306082075749229,1.6209877293402326,3.596278963665725,1.3838451859497014,1.0498119374212658,10.0,11.0,10.0,1.0081776995199003,0.9466666666666667,True,True,
ComboStack-PoolA_Econometric,forecast_combination,validation_QLIKE_forecast_combination,False,4.6710300588125815,2.2596008858893897,1.5978202707264075,3.553044842036218,1.3932499148972959,1.0508641923389794,11.0,3.0,12.0,1.0483803644212168,0.9466666666666667,True,True,
ComboPair-GARCH11_HybridQLIKE,forecast_combination,validation_QLIKE_forecast_combination,False,4.7220629634444755,2.378976513902211,1.5867288798853418,3.6417240933061965,1.5194321466314928,1.0584746060370984,12.0,20.0,27.0,1.208025397440225,0.9726027397260274,True,True,
Refit-OriginalGARCH-expanding_quarterly,refit_garch,validation_QLIKE_refit_protocol,False,4.71188018272496,2.365802370310179,1.6235719351529987,3.637215141556529,1.4321056115940685,1.0597837061908701,13.0,17.0,19.0,1.0708005097995241,0.9466666666666667,True,True,
Refit-OriginalARIMAGARCH-expanding_quarterly,refit_garch,validation_QLIKE_refit_protocol,False,4.720228285689384,2.3623231461392806,1.6298469725542977,3.6503329465415555,1.434811808078748,1.060978585442088,14.0,22.0,20.0,1.0661658681544217,0.9466666666666667,True,True,
ComboPair-GARCH11_ARIMAGARCH,forecast_combination,validation_QLIKE_forecast_combination,False,4.710176955015518,2.356162065286424,1.62943243104654,3.628229675211951,1.407866300612457,1.0629583683305006,15.0,15.0,14.0,1.036360518923391,0.9466666666666667,True,True,
"GARCH(1,1)",original_econometric,original_existing_model,False,4.710176955015518,2.3561620652864237,1.62943243104654,3.628229675211951,1.407866300612457,1.0629583683305006,15.0,15.0,14.0,1.036360518923391,0.9466666666666667,True,True,
AdvGARCH-BestSymmetric,advanced_garch_family,validation_QLIKE_garch_family,False,4.710837171715732,2.355844248814868,1.6285560863231594,3.6258407495760023,1.4075287813117756,1.0634599816363697,17.0,14.0,13.0,1.0363766572702608,0.9466666666666667,True,True,
ComboMean-PoolC_GARCH_CalibratedNeural,forecast_combination,validation_QLIKE_forecast_combination,False,4.587732554423559,2.3013668561824594,1.5150697966393571,3.6089968422946415,1.5352409249153607,1.0638308194428638,18.0,13.0,28.0,1.2583490992720534,0.958904109589041,True,True,
ARIMA-GARCH,original_econometric,original_existing_model,False,4.721296435254293,2.3562430709806486,1.6364838435487945,3.651122454222711,1.4145456732793307,1.065995300239258,19.0,23.0,16.0,1.0323884890973691,0.9466666666666667,True,True,
Refit-BestAsymmetric-rolling_1000_monthly,refit_garch,validation_QLIKE_refit_protocol,False,4.671799071572448,2.283949943262519,1.5991957916547,3.5543804770253953,1.4215736660135556,1.067671611663719,20.0,4.0,17.0,1.0891828364596852,0.9333333333333333,True,True,
ComboMedian-PoolC_GARCH_CalibratedNeural,forecast_combination,validation_QLIKE_forecast_combination,False,4.58052303375189,2.29509670906538,1.529371819053354,3.637627399504247,1.5370953974577082,1.071273201685872,21.0,18.0,29.0,1.257073963221542,0.958904109589041,True,True,
Calibrated-LSTM-LogTarget-isotonic,calibrated_neural,validation_calibration,False,4.573411980196752,2.3408453887703535,1.547466359721714,3.641386006216655,1.6662525797436962,1.0896823978540977,22.0,19.0,44.0,1.3834975761656936,0.9315068493150684,True,True,
ComboPair-BestRefitGARCH_BestCalibratedNeural,forecast_combination,validation_QLIKE_forecast_combination,False,4.581357956318984,2.316104717561244,1.5089873949493346,3.645308082857054,1.5863335032459276,1.1022035627342017,23.0,21.0,31.0,1.2966502226162533,0.958904109589041,True,True,
Calibrated-Hybrid-QLIKE-isotonic,calibrated_neural,validation_calibration,False,4.584812720119155,2.333603327905086,1.5460446367880312,3.6632156900737862,1.6261022338779507,1.1034729304844182,24.0,28.0,36.0,1.3655975143537271,0.9041095890410958,True,True,
ComboPair-BestGARCHFamily_BestCalibratedNeural,forecast_combination,validation_QLIKE_forecast_combination,False,4.580561745369891,2.3149158195872497,1.5101981342962774,3.6567262678848875,1.5966973719248838,1.1090484278458674,25.0,24.0,33.0,1.3020054599708846,0.958904109589041,True,True,
ComboStack-PoolC_GARCH_CalibratedNeural,forecast_combination,validation_QLIKE_forecast_combination,False,4.563170766970379,2.314301730776777,1.5009090751301228,3.657767797739559,1.6156101060052117,1.109833007195755,26.0,25.0,34.0,1.3392699949681837,0.958904109589041,True,True,
ComboStack-PoolD_AllStable,forecast_combination,validation_QLIKE_forecast_combination,False,4.544937020070419,2.3159324634625764,1.4962270503952635,3.6656852157219806,1.6719854240797658,1.1135298016843957,27.0,30.0,45.0,1.3978348890451298,0.9452054794520548,True,True,
ComboMean-PoolD_AllStable,forecast_combination,validation_QLIKE_forecast_combination,False,4.683615112620466,2.3903677571783515,1.5728258724622375,3.6814296791592813,1.6547089008928464,1.1168848746740219,28.0,32.0,39.0,1.3645294965781036,0.9726027397260274,True,True,
Calibrated-LSTM-LogTarget-scale_mean,calibrated_neural,validation_calibration,False,4.742464795668945,2.4245996309187325,1.5957418666414087,3.660321132935597,1.6596475174595569,1.1171438718896567,29.0,26.0,42.0,1.373532800716387,0.958904109589041,True,True,
Calibrated-Hybrid-LogTarget-Small-isotonic,calibrated_neural,validation_calibration,False,4.578317311297285,2.3247709954609177,1.5104008273261846,3.6669142210757344,1.619575075428047,1.1186706368669244,30.0,31.0,35.0,1.3256792744746857,0.958904109589041,True,True,
Calibrated-LSTM-LogTarget-affine_nonnegative,calibrated_neural,validation_calibration,False,4.742262025453352,2.439954646637187,1.5955390200250954,3.664198199483546,1.6803122574250178,1.1245976523852417,31.0,29.0,47.0,1.39761557459211,0.958904109589041,True,True,
Calibrated-LSTM-LogTarget-scale_qlike,calibrated_neural,validation_calibration,False,4.747387708249189,2.4476800736902327,1.5955807649758191,3.6626465047711685,1.684010892325915,1.12475012929135,32.0,27.0,48.0,1.4035162758121236,0.958904109589041,True,True,
Calibrated-LSTM-isotonic,calibrated_neural,validation_calibration,False,4.68324253767358,2.4458690856979497,1.5833585145963183,3.7287897834499826,1.5926507749218028,1.1251244637744555,33.0,42.0,32.0,1.2502388709643542,0.958904109589041,True,True,
Calibrated-ARIMA-GARCH-LSTM-isotonic,calibrated_neural,validation_calibration,False,4.588258499200386,2.333051287530106,1.5505063755186843,3.685043631864458,1.580443552765957,1.1261709683453613,34.0,33.0,30.0,1.2508608911637833,1.0,True,True,
ComboMean-PoolB_GARCH_Neural,forecast_combination,validation_QLIKE_forecast_combination,False,4.7585356547887985,2.372619054994347,1.6069350056784133,3.6995675597503612,1.6570640798911547,1.1290867566971243,35.0,34.0,40.0,1.3531947286684285,0.9726027397260274,True,True,
Calibrated-Hybrid-LogTarget-Small-scale_qlike,calibrated_neural,validation_calibration,False,4.669338116446905,2.376945227251055,1.5554037692561327,3.703773615441907,1.65061416073263,1.1291280882068437,36.0,36.0,38.0,1.3484837280041462,0.9863013698630136,True,True,
