split,candidate,n,intercept,coef_garch,coef_candidate,se_garch,se_candidate,p_value_candidate,r_squared,covariance
validation,ARIMA-GARCH,750,0.7552512073079194,4.3189103433068095,-3.674017412322648,2.2959642125989523,2.3311458262657023,0.11501279464393743,0.09592066446936776,HC1
test,ARIMA-GARCH,745,0.8854563441088902,13.240904347901154,-13.031774318325844,4.3473581638682814,4.404426680992985,0.003088493310203547,0.17076460624370227,HC1
validation,LSTM-QLIKE,731,-1.083369300567075,0.534335760667165,1.2177485307037519,0.21794360577016963,1.145594912443938,0.2877894177675113,0.08975460992676942,HC1
test,LSTM-QLIKE,726,-5.188044705893586,0.49068189742785356,3.4738653379241318,0.3414765008701029,1.1867480081680708,0.0034201350200312626,0.09714511954417271,HC1
validation,Hybrid-QLIKE,731,-1.9477065709833807,0.41065190069564017,1.6937857247631338,0.16126443344773497,0.7170915626062159,0.01817558558486653,0.10161446400459717,HC1
test,Hybrid-QLIKE,726,-5.468573187774439,0.4616211271568601,3.252793177329972,0.3495787566103274,1.115680157984712,0.00355090876561436,0.09746398981152382,HC1
validation,Calibrated-Hybrid-LogTarget-Small-isotonic,731,0.05823883493155616,-0.2463459871556879,1.2038630834864508,0.23710644442549458,0.2925880712362314,3.8796515407859145e-05,0.14721287070784894,HC1
test,Calibrated-Hybrid-LogTarget-Small-isotonic,726,-0.9060366836063352,0.4092104954424047,1.0021043150425686,0.23773884114743446,0.4132649456736492,0.015314834351381021,0.10269894742023977,HC1
validation,ComboStack-PoolD_AllStable,731,-0.1377165869026312,-0.45218118822636433,1.4875761570899912,0.25590192025161523,0.34795077114027856,1.9092386250166992e-05,0.1660754945782782,HC1
test,ComboStack-PoolD_AllStable,726,-1.1291111642330776,0.3154154657447966,1.150785561367603,0.24889200611923476,0.3539265309591255,0.0011480525411470656,0.10534924755314456,HC1
