base_model,model,method,pred_actual_ratio,spike_underprediction_rate,extreme_threshold_p90,test_QLIKE,test_MAE
LSTM,LSTM,raw,1.2943089606974558,1.0,2.3757100683268773,1.1610005135850472,1.6397344591598928
LSTM,Calibrated-LSTM-scale_qlike,scale_qlike,1.4522385394709392,1.0,2.3757100683268773,1.1979578007462963,1.7715857549296956
LSTM,Calibrated-LSTM-scale_mean,scale_mean,1.5404284887785307,1.0,2.3757100683268773,1.2202344488212051,1.8483780275706518
LSTM,Calibrated-LSTM-affine_nonnegative,affine_nonnegative,1.4391594404369445,1.0,2.3757100683268773,1.1947331338387612,1.7603089816145492
LSTM,Calibrated-LSTM-isotonic,isotonic,1.2502388709643542,0.958904109589041,2.3757100683268773,1.1251244637744555,1.5926507749218028
ARIMA-GARCH-LSTM,ARIMA-GARCH-LSTM,raw,1.4042198226495775,1.0,2.3757100683268773,1.1686091687616968,1.7201126142672403
ARIMA-GARCH-LSTM,Calibrated-ARIMA-GARCH-LSTM-scale_qlike,scale_qlike,1.436928304139037,1.0,2.3757100683268773,1.176638898734111,1.7480112084279322
ARIMA-GARCH-LSTM,Calibrated-ARIMA-GARCH-LSTM-scale_mean,scale_mean,1.5385484685513855,0.9726027397260274,2.3757100683268773,1.2024477548212331,1.8358945832750009
ARIMA-GARCH-LSTM,Calibrated-ARIMA-GARCH-LSTM-affine_nonnegative,affine_nonnegative,1.431853798848527,1.0,2.3757100683268773,1.175382801382107,1.7436829254499575
ARIMA-GARCH-LSTM,Calibrated-ARIMA-GARCH-LSTM-isotonic,isotonic,1.2508608911637833,1.0,2.3757100683268773,1.1261709683453613,1.580443552765957
LSTM-QLIKE,LSTM-QLIKE,raw,1.3754957841548636,1.0,2.3757100683268773,1.1858763490651132,1.7140734751998588
LSTM-QLIKE,Calibrated-LSTM-QLIKE-scale_qlike,scale_qlike,1.5433316536363066,1.0,2.3757100683268773,1.227070855116286,1.8589650042904746
LSTM-QLIKE,Calibrated-LSTM-QLIKE-scale_mean,scale_mean,1.6726970775586107,0.9863013698630136,2.3757100683268773,1.2607023611571402,1.9752286614614905
