model,regime,n_obs,rmse,mae,qlike,mean_actual_var,mean_pred_var,pred_actual_ratio
RollingVol-5,calm,363,1.4821294909048883,0.7688676707427459,-0.4785400443018219,0.08328743488771649,0.8428449700982745,10.119713390555868
RollingVol-10,calm,363,1.5537314709985932,0.8106228792115145,-0.3843254804096487,0.08328743488771649,0.8908802987442809,10.696454992824744
RollingVol-20,calm,363,1.5589169565219192,0.9014345023953052,-0.25987939503888574,0.08328743488771649,0.9844082448642225,11.819408848301634
EWMA(lambda=0.90),calm,363,1.2835939942268273,0.8667452050068325,-0.2217965401591568,0.08328743488771646,0.9497352541604759,11.40310366672784
AdvGARCH-BestQLIKE,calm,363,1.0614054583182262,0.839483977950022,-0.13068946369055778,0.08328743488771649,0.9227714128377386,11.079359258473596
AdvGARCH-BestAsymmetric,calm,363,1.051211014793604,0.8360083516118354,-0.1291146737494866,0.08328743488771649,0.9192957864995519,11.037628758034097
"GARCH(1,1)",calm,363,1.2238888257812237,0.9056443333135397,-0.09729439119080632,0.08328743488771649,0.9889317682012563,11.873721042489535
ARIMA-GARCH,calm,363,1.2293432626695346,0.9121860557825446,-0.0912315160179927,0.08328743488771649,0.9954734906702609,11.952264972649274
HAR-SquaredReturn,calm,363,1.10373441464766,0.9199990838303692,-0.007572818380706614,0.08328743488771649,1.0032865187180857,12.046072976922162
HAR-Parkinson,calm,363,1.1575339778744287,0.9443438838587246,-0.003517266915595688,0.08328743488771646,1.027631318746441,12.3383715698753
HistoricalMean,calm,363,1.1183014553703163,1.1154854735537285,0.25077569882756684,0.08328743488771649,1.198772908441445,14.39320240871344
Calibrated-Hybrid-LogTarget-Small-isotonic,calm,363,1.4918868396808667,1.3741168080344097,0.37007264098358167,0.08328743488771649,1.4574042429221261,17.4984887562802
ComboStack-PoolD_AllStable,calm,363,1.5482526106605048,1.4446692757372068,0.4275450911117144,0.08328743488771649,1.527956710624923,18.345584933487622
LSTM,calm,363,1.4479115581785686,1.435949876202275,0.467515041948224,0.08328743488771649,1.5192373110899913,18.240894477518044
ARIMA-GARCH-LSTM,calm,363,1.565253379182984,1.530470715323334,0.5149169961321103,0.08328743488771649,1.6137581502110505,19.375769615028123
Hybrid-QLIKE,calm,363,1.7520739465430346,1.7448127502044424,0.64595129783591,0.08328743488771649,1.828100185092159,21.94929148144258
Hybrid-QLIKE,extreme,73,11.139933766690236,5.91511269000627,4.570474550398699,7.95855861532247,2.0511775620996135,0.25773229315048557
ComboStack-PoolD_AllStable,extreme,73,10.81373998761357,5.797875104730945,4.688412745501433,7.95855861532247,2.3006516744066725,0.2890789382360355
ARIMA-GARCH-LSTM,extreme,73,11.163325653969425,6.008433690192436,4.79289611043111,7.95855861532247,1.950124925130034,0.24503493903726406
Calibrated-Hybrid-LogTarget-Small-isotonic,extreme,73,10.88213897537978,5.873405310003657,5.086723126957555,7.95855861532247,2.136030495519537,0.2683941400402675
LSTM,extreme,73,11.31498462715581,6.2102863857751,5.099183643837867,7.95855861532247,1.74827222954737,0.219671967506962
