model,threshold_level,threshold_value,spike_days,spike_underprediction_rate,severe_spike_underprediction_rate,average_pred_actual_ratio_spike_days,qlike_spike_days
Hybrid-QLIKE,0.9,2.3757100683268773,73,0.9863013698630136,0.5342465753424658,0.4687198807829121,4.570474550398699
ARIMA-GARCH-LSTM,0.9,2.3757100683268773,73,1.0,0.5616438356164384,0.4371984423465583,4.79289611043111
ComboStack-PoolD_AllStable,0.9,2.3757100683268773,73,0.9452054794520548,0.5616438356164384,0.5021498500245366,4.688412745501433
LSTM,0.9,2.3757100683268773,73,1.0,0.5616438356164384,0.39894979448203316,5.099183643837867
Calibrated-Hybrid-LogTarget-Small-isotonic,0.9,2.3757100683268773,73,0.958904109589041,0.6027397260273972,0.45679658357518116,5.086723126957555
RollingVol-20,0.9,2.3757100683268773,73,0.9315068493150684,0.684931506849315,0.39431855159898527,8.917016822542253
EWMA(lambda=0.90),0.9,2.3757100683268773,73,0.9315068493150684,0.726027397260274,0.4039605452746693,8.425363805239519
"GARCH(1,1)",0.9,2.3757100683268773,73,0.9452054794520548,0.726027397260274,0.414667400478768,6.765874035642129
ARIMA-GARCH,0.9,2.3757100683268773,73,0.9452054794520548,0.7397260273972602,0.4086619319824099,6.769566430571942
AdvGARCH-BestQLIKE,0.9,2.3757100683268773,73,0.9452054794520548,0.7534246575342466,0.3848920906883683,6.730396386913823
RollingVol-10,0.9,2.3757100683268773,73,0.9315068493150684,0.7534246575342466,0.40755924526573295,8.835229191950626
AdvGARCH-BestAsymmetric,0.9,2.3757100683268773,73,0.9726027397260274,0.7671232876712328,0.3824652506558876,6.713467449266442
HAR-Parkinson,0.9,2.3757100683268773,73,0.9315068493150684,0.7671232876712328,0.3887307715342081,6.336660228813842
RollingVol-5,0.9,2.3757100683268773,73,0.863013698630137,0.7808219178082192,0.43797965570346253,10.37078046942451
HAR-SquaredReturn,0.9,2.3757100683268773,73,0.958904109589041,0.821917808219178,0.38501479867634897,6.455086320341293
HistoricalMean,0.9,2.3757100683268773,73,1.0,0.9726027397260274,0.27723645596648944,6.820219439989177
