model,var_level,var_distribution,distribution_specific_quantile_available,n_obs,observed_violations,expected_violations,violation_rate,kupiec_stat,kupiec_p_value,christoffersen_independence_stat,christoffersen_independence_p_value,christoffersen_conditional_coverage_stat,christoffersen_conditional_coverage_p_value,n00,n01,n10,n11
ComboStack-PoolD_AllStable,0.01,common_normal,False,726,10,7.26,0.013774104683195593,0.934564083897385,0.33367975228748753,0.27972939969542665,0.5968786325944905,1.2142934835928116,0.5449034032362579,705,10,10,0
Hybrid-QLIKE,0.01,common_normal,False,726,10,7.26,0.013774104683195593,0.934564083897385,0.33367975228748753,0.27972939969542665,0.5968786325944905,1.2142934835928116,0.5449034032362579,705,10,10,0
ARIMA-GARCH-LSTM,0.01,common_normal,False,726,11,7.26,0.015151515151515152,1.6808348906362909,0.1948135521261446,0.3389489831982928,0.5604365178415512,2.0197838738345837,0.3642583403239205,703,11,11,0
LSTM,0.01,common_normal,False,726,11,7.26,0.015151515151515152,1.6808348906362909,0.1948135521261446,0.3389489831982928,0.5604365178415512,2.0197838738345837,0.3642583403239205,703,11,11,0
Calibrated-Hybrid-LogTarget-Small-isotonic,0.01,common_normal,False,726,12,7.26,0.01652892561983471,2.6119723527489214,0.106059777579162,0.40394614017773733,0.5250583103770574,3.0159184929266587,0.221361261100397,701,12,12,0
AdvGARCH-BestAsymmetric,0.01,common_normal,False,726,14,7.26,0.01928374655647383,4.97037301732945,0.025785085990804056,0.5513717790036594,0.4577577271187818,5.52174479633311,0.06323657681496737,697,14,14,0
AdvGARCH-BestQLIKE,0.01,common_normal,False,726,14,7.26,0.01928374655647383,4.97037301732945,0.025785085990804056,0.5513717790036594,0.4577577271187818,5.52174479633311,0.06323657681496737,697,14,14,0
ARIMA-GARCH,0.01,common_normal,False,726,15,7.26,0.02066115702479339,6.3737628509926765,0.011581975331659479,0.6338499738840255,0.4259466249706193,7.007612824876702,0.030082658210709323,695,15,15,0
"GARCH(1,1)",0.01,common_normal,False,726,15,7.26,0.02066115702479339,6.3737628509926765,0.011581975331659479,0.6338499738840255,0.4259466249706193,7.007612824876702,0.030082658210709323,695,15,15,0
HAR-Parkinson,0.01,common_normal,False,726,15,7.26,0.02066115702479339,6.3737628509926765,0.011581975331659479,0.6338499738840255,0.4259466249706193,7.007612824876702,0.030082658210709323,695,15,15,0
HAR-SquaredReturn,0.01,common_normal,False,726,15,7.26,0.02066115702479339,6.3737628509926765,0.011581975331659479,0.6338499738840255,0.4259466249706193,7.007612824876702,0.030082658210709323,695,15,15,0
HistoricalMean,0.01,common_normal,False,726,16,7.26,0.02203856749311295,7.91339789987282,0.0049070016213692,0.8430413203961393,0.35852839788799107,8.756439220268959,0.012547678505777845,694,15,15,1
EWMA(lambda=0.90),0.01,common_normal,False,726,17,7.26,0.023415977961432508,9.5809313587244,0.0019660864495062804,0.8164626455499615,0.3662164392764534,10.39739400427436,0.005523757177466781,691,17,17,0
RollingVol-20,0.01,common_normal,False,726,19,7.26,0.026170798898071626,13.271063224873217,0.0002695342971328588,1.022786371832865,0.3118589845031259,14.293849596706082,0.0007872814116104471,687,19,19,0
RollingVol-10,0.01,common_normal,False,726,26,7.26,0.03581267217630854,29.350187378562396,6.041067507658472e-08,1.9346379552964947,0.1642519212109701,31.28482533385889,1.6091128206291948e-07,673,26,26,0
RollingVol-5,0.01,common_normal,False,726,43,7.26,0.05922865013774105,83.30596136860049,7.028732427854162e-20,0.8096600977837056,0.3682207619638589,84.1156214663842,5.426563353622278e-19,643,39,39,4
HAR-Parkinson,0.025,common_normal,False,726,16,18.150000000000002,0.02203856749311295,0.2719049056194649,0.6020567986214564,0.722205171338743,0.3954215242649438,0.9941100769582079,0.6083195019095939,693,16,16,0
ARIMA-GARCH,0.025,common_normal,False,726,21,18.150000000000002,0.028925619834710745,0.437269154712709,0.5084434715966357,0.22617702143176643,0.6343731134940847,0.6634461761444754,0.7176860311632407,684,20,20,1
"GARCH(1,1)",0.025,common_normal,False,726,21,18.150000000000002,0.028925619834710745,0.437269154712709,0.5084434715966357,0.22617702143176643,0.6343731134940847,0.6634461761444754,0.7176860311632407,684,20,20,1
HistoricalMean,0.025,common_normal,False,726,21,18.150000000000002,0.028925619834710745,0.437269154712709,0.5084434715966357,0.2686193466456359,0.6042594333341115,0.7058885013583449,0.7026163626704218,685,19,20,1
Calibrated-Hybrid-LogTarget-Small-isotonic,0.025,common_normal,False,726,15,18.150000000000002,0.02066115702479339,0.5953862647491803,0.4403438094227753,0.6338499738840255,0.4259466249706193,1.2292362386332059,0.5408473950505113,695,15,15,0
ComboStack-PoolD_AllStable,0.025,common_normal,False,726,15,18.150000000000002,0.02066115702479339,0.5953862647491803,0.4403438094227753,0.6338499738840255,0.4259466249706193,1.2292362386332059,0.5408473950505113,695,15,15,0
LSTM,0.025,common_normal,False,726,14,18.150000000000002,0.01928374655647383,1.0551128390958695,0.30433248566223486,1.2365327646788273,0.2661403224439479,2.291645603774697,0.3179621902399889,698,13,13,1
AdvGARCH-BestAsymmetric,0.025,common_normal,False,726,23,18.150000000000002,0.03168044077134986,1.227195208084396,0.267953197536913,0.09637457625800039,0.7562244418298215,1.3235697843423964,0.5159296334043185,680,22,22,1
AdvGARCH-BestQLIKE,0.025,common_normal,False,726,23,18.150000000000002,0.03168044077134986,1.227195208084396,0.267953197536913,0.09637457625800039,0.7562244418298215,1.3235697843423964,0.5159296334043185,680,22,22,1
HAR-SquaredReturn,0.025,common_normal,False,726,23,18.150000000000002,0.03168044077134986,1.227195208084396,0.267953197536913,0.09637457625800039,0.7562244418298215,1.3235697843423964,0.5159296334043185,680,22,22,1
ARIMA-GARCH-LSTM,0.025,common_normal,False,726,12,18.150000000000002,0.01652892561983471,2.4229449905351146,0.11956995337514816,0.40394614017773733,0.5250583103770574,2.826891130712852,0.24330351907680536,701,12,12,0
Hybrid-QLIKE,0.025,common_normal,False,726,12,18.150000000000002,0.01652892561983471,2.4229449905351146,0.11956995337514816,0.40394614017773733,0.5250583103770574,2.826891130712852,0.24330351907680536,701,12,12,0
EWMA(lambda=0.90),0.025,common_normal,False,726,26,18.150000000000002,0.03581267217630854,3.0775303042101996,0.0793809797113388,0.00515629592078426,0.9427552212149019,3.082686600130984,0.21409331661334488,674,25,25,1
RollingVol-20,0.025,common_normal,False,726,27,18.150000000000002,0.0371900826446281,3.8580929656864384,0.049506568618956893,3.2715613940581534e-05,0.9954363195144357,3.858125681300379,0.1452842892343402,672,26,26,1
RollingVol-10,0.025,common_normal,False,726,34,18.150000000000002,0.046831955922865015,11.340505853154582,0.0007583466457152414,3.347226934149205,0.06731833056127473,14.687732787303787,0.000646545881211939,657,34,34,0
RollingVol-5,0.025,common_normal,False,726,55,18.150000000000002,0.07575757575757576,50.2054489334148,1.384628009083978e-12,0.008441144555092706,0.9267967970607531,50.21389007796989,1.247935996716145e-11,619,51,51,4
EWMA(lambda=0.90),0.05,common_normal,False,726,37,36.300000000000004,0.05096418732782369,0.01412337593023949,0.9054006833735357,0.007214641148038936,0.9323098515302409,0.021338017078278426,0.9893877034663191,653,35,35,2
ARIMA-GARCH,0.05,common_normal,False,726,34,36.300000000000004,0.046831955922865015,0.1565707571911048,0.6923335646988389,0.2409010970920349,0.6235560512099441,0.3974718542831397,0.8197663427938402,659,32,33,1
"GARCH(1,1)",0.05,common_normal,False,726,34,36.300000000000004,0.046831955922865015,0.1565707571911048,0.6923335646988389,0.2409010970920349,0.6235560512099441,0.3974718542831397,0.8197663427938402,659,32,33,1
AdvGARCH-BestAsymmetric,0.05,common_normal,False,726,33,36.300000000000004,0.045454545454545456,0.3252924840982132,0.5684442811213324,0.17464199243840994,0.6760188481983509,0.49993447653662315,0.7788262983516587,661,31,32,1
AdvGARCH-BestQLIKE,0.05,common_normal,False,726,33,36.300000000000004,0.045454545454545456,0.3252924840982132,0.5684442811213324,0.17464199243840994,0.6760188481983509,0.49993447653662315,0.7788262983516587,661,31,32,1
RollingVol-20,0.05,common_normal,False,726,40,36.300000000000004,0.05509641873278237,0.3848218274641795,0.5350339060922663,1.4549756715334752,0.22773123893505548,1.8397974989976547,0.3985593933799614,650,35,36,4
HAR-Parkinson,0.05,common_normal,False,726,32,36.300000000000004,0.0440771349862259,0.5575155543988899,0.4552629989928757,1.5162307416454723,0.21819078670561426,2.0737462960443622,0.35456161213164245,664,29,29,3
HAR-SquaredReturn,0.05,common_normal,False,726,30,36.300000000000004,0.04132231404958678,1.220150760347451,0.26933106726931255,0.4316981830021973,0.5111568500904321,1.6518489433496484,0.43783004383810675,667,28,28,2
HistoricalMean,0.05,common_normal,False,726,29,36.300000000000004,0.03994490358126722,1.6547234561587914,0.19831726079773643,2.421365813101744,0.1196905334799763,4.076089269260535,0.1302832132582287,671,25,26,3
RollingVol-10,0.05,common_normal,False,726,46,36.300000000000004,0.06336088154269973,2.5248419968360167,0.11206600529506033,1.8692225209262006,0.1715641517126738,4.394064517762217,0.11113248188327671,634,45,45,1
Calibrated-Hybrid-LogTarget-Small-isotonic,0.05,common_normal,False,726,21,36.300000000000004,0.028925619834710745,7.950523399792559,0.004807347139588146,0.22617702143176643,0.6343731134940847,8.176700421224325,0.016766872561463933,684,20,20,1
LSTM,0.05,common_normal,False,726,21,36.300000000000004,0.028925619834710745,7.950523399792559,0.004807347139588146,0.2686193466456359,0.6042594333341115,8.219142746438195,0.016414808845310692,685,19,20,1
ARIMA-GARCH-LSTM,0.05,common_normal,False,726,19,36.300000000000004,0.026170798898071626,10.429965919522886,0.0012398703084245924,2.811674016597294,0.09358067752453322,13.24163993612018,0.0013323380229696869,689,17,17,2
ComboStack-PoolD_AllStable,0.05,common_normal,False,726,18,36.300000000000004,0.024793388429752067,11.829265129680465,0.0005830700148123862,0.916647840556152,0.3383566819723543,12.745912970236617,0.0017071047277504468,689,18,18,0
Hybrid-QLIKE,0.05,common_normal,False,726,18,36.300000000000004,0.024793388429752067,11.829265129680465,0.0005830700148123862,0.5403218870704052,0.4622993566329675,12.36958701675087,0.002060526990274706,690,17,17,1
RollingVol-5,0.05,common_normal,False,726,71,36.300000000000004,0.09779614325068871,27.63827818880071,1.4625566650481942e-07,0.7331047956155885,0.3918786509176988,28.3713829844163,6.90609364449194e-07,588,66,66,5
