model,model_role,fit_sample,n_fit_obs,model_spec,mean_equation,variance_equation,innovation_distribution,component,parameter,estimate,std_error,t_stat,p_value,converged,persistence_measure,persistence_value,unconditional_variance,shock_half_life_days,validity_flag,interpretation
"GARCH(1,1)",standard_training_selected_benchmark,training_split,2471,original_garch_11_spec,Constant,"GARCH(1,1)",normal,variance,mu,0.0456318069903003,0.020444455806623633,2.23198931886054,0.025615668882217828,True,alpha_plus_beta,0.9732640270890623,1.400300936172928,25.577500024465316,stationary_garch,Standard GARCH benchmark estimated on the training split.
"GARCH(1,1)",standard_training_selected_benchmark,training_split,2471,original_garch_11_spec,Constant,"GARCH(1,1)",normal,variance,omega,0.03743840789668004,0.016340458165720932,2.2911479908940655,0.021954855808220434,True,alpha_plus_beta,0.9732640270890623,1.400300936172928,25.577500024465316,stationary_garch,Standard GARCH benchmark estimated on the training split.
"GARCH(1,1)",standard_training_selected_benchmark,training_split,2471,original_garch_11_spec,Constant,"GARCH(1,1)",normal,variance,alpha[1],0.1256585525826773,0.021215610538203984,5.922928890328083,3.162576221395466e-09,True,alpha_plus_beta,0.9732640270890623,1.400300936172928,25.577500024465316,stationary_garch,Standard GARCH benchmark estimated on the training split.
"GARCH(1,1)",standard_training_selected_benchmark,training_split,2471,original_garch_11_spec,Constant,"GARCH(1,1)",normal,variance,beta[1],0.847605474506385,0.030271377609639622,28.00022798554346,1.614421875936488e-172,True,alpha_plus_beta,0.9732640270890623,1.400300936172928,25.577500024465316,stationary_garch,Standard GARCH benchmark estimated on the training split.
AdvGARCH-BestQLIKE,primary_validation_selected_advanced_garch,training_split,2471,arima_3_0_3_egarch_1_1_2_normal,"two-step ARIMA(3,0,3) residuals","EGARCH(1,1,2)",normal,variance,omega,0.006270731107097821,0.005715416078997197,1.0971609101463804,0.2725710576309551,True,sum_beta_log_variance,0.9503355563266948,,,log_variance_persistence_below_one,Primary validation-selected advanced GARCH-family specification.
AdvGARCH-BestQLIKE,primary_validation_selected_advanced_garch,training_split,2471,arima_3_0_3_egarch_1_1_2_normal,"two-step ARIMA(3,0,3) residuals","EGARCH(1,1,2)",normal,variance,alpha[1],0.2379935443139513,0.02714713906445649,8.766800204945138,1.8381555207348905e-18,True,sum_beta_log_variance,0.9503355563266948,,,log_variance_persistence_below_one,Primary validation-selected advanced GARCH-family specification.
AdvGARCH-BestQLIKE,primary_validation_selected_advanced_garch,training_split,2471,arima_3_0_3_egarch_1_1_2_normal,"two-step ARIMA(3,0,3) residuals","EGARCH(1,1,2)",normal,variance,gamma[1],-0.044002880227994,0.018571467242637408,-2.369380924678355,0.01781789154412847,True,sum_beta_log_variance,0.9503355563266948,,,log_variance_persistence_below_one,Primary validation-selected advanced GARCH-family specification.
AdvGARCH-BestQLIKE,primary_validation_selected_advanced_garch,training_split,2471,arima_3_0_3_egarch_1_1_2_normal,"two-step ARIMA(3,0,3) residuals","EGARCH(1,1,2)",normal,variance,beta[1],0.9503355563266948,0.1492269626540271,6.368390399595449,1.9102219685955675e-10,True,sum_beta_log_variance,0.9503355563266948,,,log_variance_persistence_below_one,Primary validation-selected advanced GARCH-family specification.
AdvGARCH-BestQLIKE,primary_validation_selected_advanced_garch,training_split,2471,arima_3_0_3_egarch_1_1_2_normal,"two-step ARIMA(3,0,3) residuals","EGARCH(1,1,2)",normal,variance,beta[2],0.0,0.1535623571894284,0.0,1.0,True,sum_beta_log_variance,0.9503355563266948,,,log_variance_persistence_below_one,Primary validation-selected advanced GARCH-family specification.
AdvGARCH-BestAsymmetric,category_selected_asymmetric_garch_comparator,training_split,2471,direct_zero_egarch_1_1_1_normal,Zero,"EGARCH(1,1,1)",normal,variance,omega,0.00880397432497317,0.005599297289331351,1.5723355753494044,0.11587274670656425,True,sum_beta_log_variance,0.9531849352639628,,,log_variance_persistence_below_one,Asymmetric category-selected comparator; not promoted solely by test QLIKE.
AdvGARCH-BestAsymmetric,category_selected_asymmetric_garch_comparator,training_split,2471,direct_zero_egarch_1_1_1_normal,Zero,"EGARCH(1,1,1)",normal,variance,alpha[1],0.2353088967318197,0.028336138265228832,8.304197789032049,1.0049611292799789e-16,True,sum_beta_log_variance,0.9531849352639628,,,log_variance_persistence_below_one,Asymmetric category-selected comparator; not promoted solely by test QLIKE.
AdvGARCH-BestAsymmetric,category_selected_asymmetric_garch_comparator,training_split,2471,direct_zero_egarch_1_1_1_normal,Zero,"EGARCH(1,1,1)",normal,variance,gamma[1],-0.04295149626893817,0.018861137119364404,-2.2772485029463367,0.022771390224016582,True,sum_beta_log_variance,0.9531849352639628,,,log_variance_persistence_below_one,Asymmetric category-selected comparator; not promoted solely by test QLIKE.
AdvGARCH-BestAsymmetric,category_selected_asymmetric_garch_comparator,training_split,2471,direct_zero_egarch_1_1_1_normal,Zero,"EGARCH(1,1,1)",normal,variance,beta[1],0.9531849352639628,0.013887996470418553,68.63372533930634,0.0,True,sum_beta_log_variance,0.9531849352639628,,,log_variance_persistence_below_one,Asymmetric category-selected comparator; not promoted solely by test QLIKE.
