model,selection_role,source_file
HistoricalMean,fixed_baseline,outputs/predictions/pred_baseline_mean.csv
RollingVol-5,fixed_baseline,outputs/predictions/pred_rolling_vol_5.csv
RollingVol-10,fixed_baseline,outputs/predictions/pred_rolling_vol_10.csv
RollingVol-20,fixed_baseline,outputs/predictions/pred_rolling_vol_20.csv
"GARCH(1,1)",training_selected_econometric_benchmark,outputs/predictions/pred_garch_11.csv
ARIMA-GARCH,training_aic_mean_model_plus_garch_benchmark,outputs/predictions/pred_arima_garch.csv
AdvGARCH-BestQLIKE,validation_selected_primary_advanced_garch,outputs/advanced/predictions/garch_family/pred_advgarch_bestqlike.csv
AdvGARCH-BestAsymmetric,validation_selected_asymmetric_garch_comparator,outputs/advanced/predictions/garch_family/pred_advgarch_bestasymmetric.csv
LSTM,validation_monitored_neural_baseline,outputs/predictions/pred_lstm_base.csv
ARIMA-GARCH-LSTM,validation_monitored_hybrid_neural_baseline,outputs/predictions/pred_lstm_hybrid.csv
Hybrid-QLIKE,validation_selected_tuned_hybrid_neural,outputs/predictions/lstm_tuned/pred_hybrid_qlike.csv
EWMA(lambda=0.90),validation_selected_ewma,outputs/stage1_extensions/predictions/ewma_predictions.csv
HAR-Parkinson,validation_selected_har,outputs/stage1_extensions/predictions/har_predictions.csv
HAR-SquaredReturn,predeclared_har_comparator,generated_in_memory_from_stage1_har_features
Calibrated-Hybrid-LogTarget-Small-isotonic,validation_selected_calibrated_neural,outputs/advanced/predictions/calibrated_neural/pred_calibrated_hybrid_logtarget_small_isotonic.csv
ComboStack-PoolD_AllStable,validation_selected_forecast_combination,outputs/advanced/predictions/forecast_combinations/pred_combostack_poold_allstable.csv
