model,split,sample_type,n_obs,mse,rmse,mae,qlike,mean_actual_var,mean_pred_var
HistoricalMean,validation,available,750,24.9505968573315,4.995057242648127,2.191503249542924,1.9616529499965452,2.1342407332578572,1.198772908441445
RollingVol-5,validation,available,750,25.624245708970232,5.062039678723413,2.4873813873103914,2.999134209357486,2.1342407332578572,2.0510541311963206
RollingVol-10,validation,available,750,23.63888769318547,4.861983925640383,2.461529445498201,2.0099138921274444,2.1342407332578572,2.048206379218172
RollingVol-20,validation,available,750,24.31104979524342,4.930623672036168,2.5583602262637064,1.7931683169607369,2.1342407332578572,2.0707889938779953
"GARCH(1,1)",validation,available,750,22.185766947559255,4.710176955015518,2.3561620652864237,1.62943243104654,2.1342407332578572,1.9923226258746338
ARIMA-GARCH,validation,available,750,22.290640029544893,4.721296435254293,2.3562430709806486,1.6364838435487945,2.1342407332578572,1.9666954342429883
LSTM,validation,available,731,23.38478412837442,4.835781646060378,2.3925914264961663,1.6673171114763983,2.1576002606846854,1.8128730878131987
ARIMA-GARCH-LSTM,validation,available,731,22.63021170795444,4.757122208641947,2.412675706091275,1.6152834550265276,2.1576002606846854,1.9692230159378574
LSTM-LogTarget,validation,available,731,26.617230687488085,5.159188956365921,2.009581849069528,4.371889110253753,2.1576002606846854,0.40118935778890025
Hybrid-LogTarget,validation,available,731,26.910414578226064,5.187524899046371,2.014338089478917,4.333756584932176,2.1576002606846854,0.380532799391802
LSTM-QLIKE,validation,available,731,23.608182193173597,4.858825186521285,2.3881449107520685,1.6793709706894202,2.1576002606846854,1.7742423910938112
Hybrid-QLIKE,validation,available,731,23.22142673575955,4.81886156013633,2.4427896456157563,1.6595824324896817,2.1576002606846854,1.9335374959353384
LSTM-LogTarget-Small,validation,available,731,27.645164598801188,5.257866924790051,2.035712826362225,4.939853270108503,2.1576002606846854,0.34021597985819374
Hybrid-LogTarget-Small,validation,available,731,26.48023028837237,5.145894508088207,2.0091481713314554,3.8913356616340953,2.1576002606846854,0.4312038501666229
HistoricalMean,test,available,745,14.211651461980647,3.7698344077665595,1.447044929332089,1.1910486529480493,1.2104611788275565,1.198772908441445
RollingVol-5,test,available,745,15.89643364553285,3.9870331884162753,1.5042699109867044,1.9946473846036525,1.2104611788275565,1.2078618748922212
RollingVol-10,test,available,745,15.623402389331057,3.952644986503475,1.4967875561215123,1.3249633672509022,1.2104611788275565,1.2330362163534714
RollingVol-20,test,available,745,15.017651174505653,3.875261433052698,1.4760673691059205,1.2853466841404533,1.2104611788275565,1.2275574730983645
"GARCH(1,1)",test,available,745,13.16405057608862,3.628229675211951,1.407866300612457,1.0629583683305006,1.2104611788275565,1.2544741754263462
ARIMA-GARCH,test,available,745,13.330695175729273,3.651122454222711,1.4145456732793307,1.065995300239258,1.2104611788275565,1.2496661875208015
LSTM,test,available,726,14.21076033888962,3.7697162146360066,1.6397344591598928,1.1610005135850472,1.2119119537615395,1.5685885013299212
ARIMA-GARCH-LSTM,test,available,726,14.162071013297513,3.7632527171713455,1.7201126142672403,1.1686091687616968,1.2119119537615395,1.701790788777932
LSTM-LogTarget,test,available,726,14.952777911186057,3.866882195152324,1.1086255618796224,2.301501785580888,1.2119119537615395,0.3095198615556065
Hybrid-LogTarget,test,available,726,14.959974083087353,3.867812570832169,1.1092997951469603,2.0863595613632993,1.2119119537615395,0.3394889296120576
LSTM-QLIKE,test,available,726,14.30718943041225,3.7824845578550947,1.7140734751998588,1.1858763490651132,1.2119119537615395,1.6669797831658817
Hybrid-QLIKE,test,available,726,14.495502236074547,3.807295921789446,1.862578359682915,1.2305083298195814,1.2119119537615395,1.8776064628411915
LSTM-LogTarget-Small,test,available,726,15.117910597087267,3.888175741538346,1.1235456755796545,2.2814987601126595,1.2119119537615395,0.3427646517753371
Hybrid-LogTarget-Small,test,available,726,14.96194674636037,3.8680675726207743,1.1081647402489878,2.232917375355168,1.2119119537615395,0.33366970656845735
