model,split,sample_type,n_obs,mse,rmse,mae,qlike,mean_actual_var,mean_pred_var
HistoricalMean,validation,common,731,25.427446959840204,5.042563530570558,2.2102404649978373,1.9811391489774666,2.1576002606846854,1.198772908441445
RollingVol-5,validation,common,731,26.08750551203096,5.107592927400436,2.5136218559988905,2.9169345047262034,2.1576002606846854,2.079432176033469
RollingVol-10,validation,common,731,24.060351192715526,4.905135185977602,2.4903567117413785,1.974229478952836,2.1576002606846854,2.0836927704694386
RollingVol-20,validation,common,731,24.754551909226343,4.975394648590838,2.5929683033263564,1.7781206763197555,2.1576002606846854,2.1125768380072483
"GARCH(1,1)",validation,common,731,22.580365594329564,4.751880216748899,2.3824464843672155,1.6306331036642974,2.1576002606846854,2.0219281132073146
ARIMA-GARCH,validation,common,731,22.690337833493125,4.763437606759758,2.383111614214153,1.6380147551855844,2.1576002606846854,1.9960503919769141
LSTM,validation,common,731,23.38478412837442,4.835781646060378,2.3925914264961663,1.6673171114763983,2.1576002606846854,1.8128730878131987
ARIMA-GARCH-LSTM,validation,common,731,22.63021170795444,4.757122208641947,2.412675706091275,1.6152834550265276,2.1576002606846854,1.9692230159378574
LSTM-LogTarget,validation,common,731,26.617230687488085,5.159188956365921,2.009581849069528,4.371889110253753,2.1576002606846854,0.40118935778890025
Hybrid-LogTarget,validation,common,731,26.910414578226064,5.187524899046371,2.014338089478917,4.333756584932176,2.1576002606846854,0.380532799391802
LSTM-QLIKE,validation,common,731,23.608182193173597,4.858825186521285,2.3881449107520685,1.6793709706894202,2.1576002606846854,1.7742423910938112
Hybrid-QLIKE,validation,common,731,23.22142673575955,4.81886156013633,2.4427896456157563,1.6595824324896817,2.1576002606846854,1.9335374959353384
LSTM-LogTarget-Small,validation,common,731,27.645164598801188,5.257866924790051,2.035712826362225,4.939853270108503,2.1576002606846854,0.34021597985819374
Hybrid-LogTarget-Small,validation,common,731,26.48023028837237,5.145894508088207,2.0091481713314554,3.8913356616340953,2.1576002606846854,0.4312038501666229
HistoricalMean,test,common,726,14.437763517938118,3.7997057146492432,1.4491530591621669,1.192258869598565,1.2119119537615395,1.198772908441445
RollingVol-5,test,common,726,16.091197028652353,4.011383430769533,1.4923936644649038,1.9280092583513804,1.2119119537615395,1.2018147037722362
RollingVol-10,test,common,726,15.793700026231598,3.974128838655284,1.4788908535787506,1.3099642992305265,1.2119119537615395,1.2185407392830263
RollingVol-20,test,common,726,15.218199921412733,3.901051130325355,1.4621959887598153,1.2806348843535529,1.2119119537615395,1.208200177193738
"GARCH(1,1)",test,common,726,13.314026088846317,3.6488390056079916,1.3939092832794717,1.0528883385999728,1.2119119537615395,1.2413202424783485
ARIMA-GARCH,test,common,726,13.48223217835212,3.6718159238110126,1.400256179955508,1.055678688239123,1.2119119537615395,1.2360802749299291
LSTM,test,common,726,14.21076033888962,3.7697162146360066,1.6397344591598928,1.1610005135850472,1.2119119537615395,1.5685885013299212
ARIMA-GARCH-LSTM,test,common,726,14.162071013297513,3.7632527171713455,1.7201126142672403,1.1686091687616968,1.2119119537615395,1.701790788777932
LSTM-LogTarget,test,common,726,14.952777911186057,3.866882195152324,1.1086255618796224,2.301501785580888,1.2119119537615395,0.3095198615556065
Hybrid-LogTarget,test,common,726,14.959974083087353,3.867812570832169,1.1092997951469603,2.0863595613632993,1.2119119537615395,0.3394889296120576
LSTM-QLIKE,test,common,726,14.30718943041225,3.7824845578550947,1.7140734751998588,1.1858763490651132,1.2119119537615395,1.6669797831658817
Hybrid-QLIKE,test,common,726,14.495502236074547,3.807295921789446,1.862578359682915,1.2305083298195814,1.2119119537615395,1.8776064628411915
LSTM-LogTarget-Small,test,common,726,15.117910597087267,3.888175741538346,1.1235456755796545,2.2814987601126595,1.2119119537615395,0.3427646517753371
Hybrid-LogTarget-Small,test,common,726,14.96194674636037,3.8680675726207743,1.1081647402489878,2.232917375355168,1.2119119537615395,0.33366970656845735
