model,split,n_obs,mse,rmse,mae,qlike,mean_actual_var,mean_pred_var
LSTM-LogTarget,validation,731,26.617230687488085,5.159188956365921,2.009581849069528,4.371889110253752,2.1576002606846854,0.40118935778890025
LSTM-LogTarget,test,726,14.952777911186057,3.866882195152324,1.1086255618796224,2.301501785580887,1.2119119537615395,0.30951986155560657
Hybrid-LogTarget,validation,731,26.910414578226064,5.187524899046371,2.014338089478917,4.333756584932175,2.1576002606846854,0.380532799391802
Hybrid-LogTarget,test,726,14.959974083087353,3.867812570832169,1.1092997951469603,2.086359561363299,1.2119119537615395,0.3394889296120576
LSTM-QLIKE,validation,731,23.608182193173597,4.858825186521285,2.388144910752068,1.6793709706894202,2.1576002606846854,1.7742423910938112
LSTM-QLIKE,test,726,14.30718943041225,3.7824845578550947,1.7140734751998588,1.1858763490651132,1.2119119537615395,1.6669797831658817
Hybrid-QLIKE,validation,731,23.22142673575955,4.81886156013633,2.4427896456157563,1.6595824324896817,2.1576002606846854,1.9335374959353384
Hybrid-QLIKE,test,726,14.495502236074547,3.807295921789446,1.862578359682915,1.2305083298195814,1.2119119537615395,1.8776064628411915
LSTM-LogTarget-Small,validation,731,27.645164598801188,5.257866924790051,2.035712826362225,4.939853270108503,2.1576002606846854,0.34021597985819374
LSTM-LogTarget-Small,test,726,15.117910597087267,3.888175741538346,1.1235456755796547,2.2814987601126595,1.2119119537615395,0.3427646517753371
Hybrid-LogTarget-Small,validation,731,26.48023028837237,5.145894508088207,2.0091481713314554,3.891335661634094,2.1576002606846854,0.431203850166623
Hybrid-LogTarget-Small,test,726,14.96194674636037,3.8680675726207743,1.1081647402489878,2.232917375355168,1.2119119537615395,0.3336697065684574
