model,split,model_group,n_obs,rmse,mae,qlike,mean_actual_var,mean_pred_var,pred_actual_ratio,extreme_regime_qlike,spike90_underprediction_rate,spike90_severe_underprediction_rate,spike90_average_pred_actual_ratio,var1_violation_rate,var1_kupiec_p_value
ComboPair-BestGARCHFamily_HybridQLIKE,test,benchmark_garch_family,726,3.607899619656155,1.431154554277245,1.0262653123459162,1.2119119537615395,1.3307078248768147,1.0980235162682865,5.474241698581968,1.0,0.8837209302325582,0.2672937020768579,0.0165289256198347,0.106059777579162
AdvGARCH-BestQLIKE,test,benchmark_garch_family,745,3.561391099658911,1.3246053463757665,1.0325481138224148,1.2104611788275565,1.132748509541949,0.9357991229748652,6.755768690547408,1.0,0.8888888888888888,0.2508334034267839,0.0201342281879194,0.0145295420723243
ComboPair-BestRefitGARCH_HybridQLIKE,test,benchmark_garch_family,726,3.5950157491781276,1.4915852176072453,1.0471818808486189,1.2119119537615395,1.443194001385364,1.1908406356633168,5.355304732822651,1.0,0.8372093023255814,0.3029112801644269,0.0165289256198347,0.106059777579162
ComboPair-GARCH11_HybridQLIKE,test,benchmark_garch_family,726,3.6417240933061965,1.5194321466314928,1.0584746060370984,1.2119119537615395,1.4640204196053435,1.208025397440225,5.240774514775868,1.0,0.8604651162790697,0.2844039397802054,0.0151515151515151,0.1948135521261446
"GARCH(1,1)",test,benchmark_garch_family,745,3.628229675211951,1.407866300612457,1.0629583683305006,1.2104611788275565,1.2544741754263462,1.036360518923391,6.75752868881366,1.0,0.8666666666666667,0.2732698235057033,0.021476510067114,0.0063102860312102
ComboMean-PoolC_GARCH_CalibratedNeural,test,benchmark_garch_family,726,3.6089968422946415,1.5352409249153607,1.0638308194428638,1.2119119537615395,1.5250083154128677,1.2583490992720534,5.035581835458978,1.0,0.8372093023255814,0.3097668366461908,0.0137741046831955,0.3336797522874875
ARIMA-GARCH,test,benchmark_garch_family,745,3.651122454222711,1.4145456732793307,1.065995300239258,1.2104611788275565,1.2496661875208015,1.0323884890973691,6.761725699799334,1.0,0.8666666666666667,0.2680211409284803,0.021476510067114,0.0063102860312102
ComboMedian-PoolC_GARCH_CalibratedNeural,test,benchmark_garch_family,726,3.637627399504247,1.5370953974577082,1.071273201685872,1.2119119537615395,1.5234629627905805,1.257073963221542,5.081736727124948,1.0,0.8372093023255814,0.3075683196278738,0.0151515151515151,0.1948135521261446
Calibrated-LSTM-LogTarget-isotonic,test,neural_or_hybrid,726,3.641386006216655,1.6662525797436962,1.0896823978540977,1.2119119537615395,1.67667725055532,1.3834975761656936,4.560720073985729,0.9767441860465116,0.8372093023255814,0.32230441009612,0.0151515151515151,0.1948135521261446
ComboPair-BestRefitGARCH_BestCalibratedNeural,test,benchmark_garch_family,726,3.645308082857054,1.5863335032459276,1.1022035627342017,1.2119119537615395,1.5714259046361987,1.2966502226162533,5.1209813300228895,1.0,0.8837209302325582,0.29775020236777,0.0179063360881542,0.0539976753820801
