model,proxy_count,average_qlike_rank,best_rank,worst_rank,rank_std,top1_proxy_count,top3_proxy_count,top5_proxy_count,average_pred_actual_ratio
AdvGARCH-BestAsymmetric,7,3.5714285714285716,1.0,14.0,4.467570220317683,4,5,6,1.2205757095414715
AdvGARCH-BestHeavyTail,7,4.714285714285714,2.0,15.0,4.526565576501389,0,5,5,1.2397362348188907
AdvGARCH-BestARIMA,7,5.142857142857143,3.0,11.0,2.8996833043120627,0,3,5,1.2173275086135507
AdvGARCH-BestQLIKE,7,5.142857142857143,3.0,11.0,2.8996833043120627,0,3,5,1.2173275086135507
Refit-BestGARCHFamily-fixed_train_only,7,5.142857142857143,3.0,11.0,2.8996833043120627,0,3,5,1.2173275086135507
ComboPair-GARCH11_ARIMAGARCH,7,7.714285714285714,2.0,16.0,4.025429372458676,0,1,2,1.3478917515339066
"GARCH(1,1)",7,7.714285714285714,2.0,16.0,4.025429372458676,0,1,2,1.3478917515339066
AdvGARCH-BestSymmetric,7,7.857142857142857,3.0,18.0,4.517539514526256,0,1,2,1.3478762026778184
ComboMedian-PoolA_Econometric,7,8.714285714285714,6.0,11.0,1.9059520091609046,0,0,0,1.3114549479132236
ARIMA-GARCH,7,10.428571428571429,4.0,20.0,4.686062704816207,0,0,1,1.3426277321434
ComboMean-PoolA_Econometric,7,11.0,9.0,12.0,1.1952286093343936,0,0,0,1.3314646770952838
Refit-OriginalGARCH-expanding_quarterly,7,13.0,8.0,15.0,2.138089935299395,0,0,0,1.3927802187615625
EWMA(lambda=0.90),7,13.142857142857142,1.0,58.0,18.77253747540023,2,3,3,1.323894558632658
Refit-OriginalARIMAGARCH-expanding_quarterly,7,14.0,9.0,16.0,2.138089935299395,0,0,0,1.3867834797402827
HAR-Parkinson,7,15.142857142857142,7.0,22.0,4.389226141639204,0,0,0,1.2695076865145587
ComboStack-PoolA_Econometric,7,15.714285714285714,12.0,17.0,1.577908716741037,0,0,0,1.3646265712265004
ComboPair-BestGARCHFamily_HybridQLIKE,7,16.714285714285715,1.0,20.0,6.452337023220696,1,1,1,1.4297346007731977
Refit-BestAsymmetric-rolling_1000_monthly,7,18.0,17.0,21.0,1.3093073414159542,0,0,0,1.4180117160902785
ComboPair-BestRefitGARCH_HybridQLIKE,7,19.0,8.0,21.0,4.503966505838413,0,0,0,1.5514140684612279
ComboStack-PoolB_GARCH_Neural,7,20.142857142857142,10.0,22.0,4.15515416349971,0,0,0,1.5539876960614318
ComboPair-GARCH11_HybridQLIKE,7,21.0,13.0,23.0,3.5456210417116734,0,0,0,1.5728569435564903
RollingVol-20,7,21.0,2.0,69.0,20.191936155660898,0,1,1,1.3141613013802618
ComboMean-PoolC_GARCH_CalibratedNeural,7,23.142857142857142,19.0,24.0,1.7261494247992242,0,0,0,1.6395594379157497
ComboMedian-PoolC_GARCH_CalibratedNeural,7,24.428571428571427,22.0,25.0,1.049781318335648,0,0,0,1.638110124011172
ComboPair-BestRefitGARCH_BestCalibratedNeural,7,26.0,24.0,27.0,1.0690449676496976,0,0,0,1.6893933438456836
ComboPair-BestGARCHFamily_BestCalibratedNeural,7,27.142857142857142,26.0,28.0,0.8329931278350429,0,0,0,1.6963140333538866
RollingVol-10,7,28.0,18.0,70.0,17.55806692907036,0,0,0,1.3258932585758731
Calibrated-LSTM-LogTarget-isotonic,7,29.428571428571427,23.0,37.0,3.81190401832181,0,0,0,1.8026123566108299
Calibrated-Hybrid-LogTarget-Small-isotonic,7,30.285714285714285,28.0,32.0,1.4846149779161804,0,0,0,1.727223188029548
Calibrated-LSTM-isotonic,7,30.428571428571427,28.0,34.0,1.761261143705422,0,0,0,1.6277955076850208
ComboStack-PoolC_GARCH_CalibratedNeural,7,31.428571428571427,27.0,33.0,2.060315014550851,0,0,0,1.7450149647959827
Calibrated-ARIMA-GARCH-LSTM-isotonic,7,32.0,27.0,35.0,2.5634797778466227,0,0,0,1.6286881152661603
ComboMean-PoolD_AllStable,7,32.714285714285715,29.0,36.0,2.864276807966203,0,0,0,1.777284712969966
Calibrated-Hybrid-QLIKE-isotonic,7,34.142857142857146,25.0,41.0,4.453844933748542,0,0,0,1.779480639220356
ComboStack-PoolD_AllStable,7,34.57142857142857,28.0,39.0,3.4582052676886295,0,0,0,1.8215492902645123
Calibrated-Hybrid-LogTarget-Small-scale_qlike,7,36.42857142857143,34.0,38.0,1.3997084244475304,0,0,0,1.757078837115458
