model,split,regime,threshold_source,q50,q75,q90,n_obs,rmse,mae,qlike,mean_actual_var,mean_pred_var,pred_actual_ratio
ARIMA-GARCH,test,calm,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,373,1.2589832025322671,0.9392089396849224,-0.07046283366243634,0.0831955140456374,1.0224044537305594,12.289177673326394
ARIMA-GARCH,test,extreme-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,75,10.7206984838624,6.114597796028174,6.761725699799334,7.93821096681794,2.0047700568940496,0.25254683520935306
ARIMA-GARCH,test,high-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,111,1.971832738522978,1.0246749319269897,1.7473632403208275,1.52400099858541,1.6232440315800472,1.0651200577209303
ARIMA-GARCH,test,normal,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,186,1.2455587075627528,0.7052572040033145,0.6417332713643759,0.5711382695332308,1.1779925090809644,2.0625347169323676
ARIMA-GARCH-LSTM,test,calm,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,364,1.5641560803195498,1.5292756896991822,0.5149634574422636,0.08384782905334565,1.6131235187525277,19.238703457977746
ARIMA-GARCH-LSTM,test,extreme-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,73,11.163325653969425,6.008433690192436,4.79289611043111,7.95855861532247,1.950124925130034,0.24503493903726406
ARIMA-GARCH-LSTM,test,high-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,109,0.5953063701225754,0.46666459804741955,1.4447995038185506,1.524715411321571,1.8453395968183466,1.210284609912134
ARIMA-GARCH-LSTM,test,normal,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,180,1.1907750080281494,1.1259072574238764,0.8533277557461932,0.5675483883492694,1.6934556457731458,2.9838083950843552
AdvGARCH-BestARIMA,test,calm,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,373,1.076592845147276,0.8549373323516872,-0.11621205848936737,0.0831955140456374,0.9381328463973246,11.276243162374191
AdvGARCH-BestARIMA,test,extreme-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,75,10.748386562937235,6.219292561171252,6.755768690547408,7.93821096681794,1.8859349893316137,0.23757682898765253
AdvGARCH-BestARIMA,test,high-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,111,1.331508206579292,0.8489057385491299,1.735962620450214,1.52400099858541,1.415192762956366,0.9286035667102315
AdvGARCH-BestARIMA,test,normal,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,186,0.9143610603612339,0.5766875215912336,0.6087147309312037,0.5711382695332308,1.0507664893253883,1.8397760146315167
AdvGARCH-BestAsymmetric,test,calm,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,373,1.0669441646921278,0.8516746814234792,-0.11458925489969635,0.0831955140456374,0.9348701954691165,11.237026493475213
AdvGARCH-BestAsymmetric,test,extreme-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,75,10.671800275281557,6.18118405896665,6.728062604644371,7.93821096681794,1.914621912857517,0.2411906059010926
AdvGARCH-BestAsymmetric,test,high-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,111,1.4497816228326008,0.8741236105921124,1.7382213856660371,1.52400099858541,1.4322740603556647,0.9398117597594182
AdvGARCH-BestAsymmetric,test,normal,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,186,0.9093739631749951,0.5697465331150972,0.6050447599417894,0.5711382695332308,1.0474090091923287,1.8338974379152277
AdvGARCH-BestHeavyTail,test,calm,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,373,1.0999176087125475,0.8552426176398179,-0.12858716296135214,0.0831955140456374,0.9384381316854553,11.279912654553339
AdvGARCH-BestHeavyTail,test,extreme-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,75,10.601296085347084,6.156695720951831,6.756892313621427,7.93821096681794,2.0306027374803084,0.25580105466689085
AdvGARCH-BestHeavyTail,test,high-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,111,1.4372824360873584,0.8902939526370829,1.7616048348252695,1.52400099858541,1.4484356790444979,0.9504164894832402
AdvGARCH-BestHeavyTail,test,normal,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,186,0.9524640879915686,0.5882356166870982,0.6137217890785538,0.5711382695332308,1.0549466588427314,1.847095029553699
AdvGARCH-BestQLIKE,test,calm,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,373,1.076592845147276,0.8549373323516872,-0.11621205848936737,0.0831955140456374,0.9381328463973246,11.276243162374191
AdvGARCH-BestQLIKE,test,extreme-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,75,10.748386562937235,6.219292561171252,6.755768690547408,7.93821096681794,1.8859349893316137,0.23757682898765253
AdvGARCH-BestQLIKE,test,high-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,111,1.331508206579292,0.8489057385491299,1.735962620450214,1.52400099858541,1.415192762956366,0.9286035667102315
AdvGARCH-BestQLIKE,test,normal,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,186,0.9143610603612339,0.5766875215912336,0.6087147309312037,0.5711382695332308,1.0507664893253883,1.8397760146315167
AdvGARCH-BestSymmetric,test,calm,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,373,1.2534542899106458,0.9330563576193872,-0.07657912913336963,0.0831955140456374,1.0162518716650246,12.215224382261207
AdvGARCH-BestSymmetric,test,extreme-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,75,10.625719198694313,6.0690405653206065,6.760849540314349,7.93821096681794,2.0756032406067413,0.2614699016293282
AdvGARCH-BestSymmetric,test,high-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,111,2.021598295457073,1.0384940537658982,1.7548756876512175,1.52400099858541,1.6354637749992063,1.0731382568103676
AdvGARCH-BestSymmetric,test,normal,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,186,1.2414971328739757,0.6996131092375334,0.6397138958762415,0.5711382695332308,1.1738126018748736,2.055216161288203
Calibrated-ARIMA-GARCH-LSTM-affine_nonnegative,test,calm,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,364,1.5964701657934721,1.5610207314683986,0.5334172312427083,0.08384782905334565,1.6448685605217443,19.617306483573312
Calibrated-ARIMA-GARCH-LSTM-affine_nonnegative,test,extreme-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,73,11.141410245565314,5.97005671751565,4.7323006373570475,7.95855861532247,1.9885018978068185,0.2498570399391658
Calibrated-ARIMA-GARCH-LSTM-affine_nonnegative,test,high-volatility,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,109,0.6208028817629487,0.48831326494762695,1.4477015044144526,1.524715411321571,1.8816544740725627,1.234102088888581
Calibrated-ARIMA-GARCH-LSTM-affine_nonnegative,test,normal,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,180,1.2241814788449925,1.1592331742457682,0.8661479506823562,0.5675483883492694,1.7267815625950378,3.042527470860117
Calibrated-ARIMA-GARCH-LSTM-isotonic,test,calm,test_actual_var_quantiles_for_diagnostic_grouping,0.2872709111767263,0.9910271514632224,2.3761147014451307,364,1.3760414986105798,1.3334610339854802,0.39081178575708103,0.08384782905334565,1.4173088630388262,16.903345966621345
