model,alpha,tail_convention,var_distribution,mean_mapping,n_obs,var_violations,expected_violations,violation_ratio,violation_rate,kupiec_uc_p_value,christoffersen_independence_p_value,christoffersen_cc_p_value,quantile_loss,var_forecast_average,es_forecast_average,realized_return_average_on_exceedance_dates,es_calibration_error_on_exceedances,es_diagnostic_label,n00,n01,n10,n11
ComboStack-PoolD_AllStable,0.01,lower_tail_return,common_normal_zero_mean,zero_mean,745,11,7.45,1.4765100671140938,0.01476510067114094,0.22220067392503876,0.5655634406943051,0.4024710524846683,0.05230208900196129,-2.9540375279626883,-3.384335986382712,-4.607997081014875,-1.0390791967788973,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,722,11,11,0
Hybrid-QLIKE,0.01,lower_tail_return,common_normal_zero_mean,zero_mean,745,11,7.45,1.4765100671140938,0.01476510067114094,0.22220067392503876,0.5655634406943051,0.4024710524846683,0.053255779171695224,-3.150498926670532,-3.609414840421712,-4.634179305229045,-0.9568250334141759,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,722,11,11,0
ARIMA-GARCH-LSTM,0.01,lower_tail_return,common_normal_zero_mean,zero_mean,745,12,7.45,1.610738255033557,0.016107382550335572,0.12378613464732025,0.5304861336849162,0.2513006811843384,0.05388191237326992,-3.0229840178393617,-3.4633255336093938,-4.507100379295191,-0.9745794283952346,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,720,12,12,0
LSTM,0.01,lower_tail_return,common_normal_zero_mean,zero_mean,745,12,7.45,1.610738255033557,0.016107382550335572,0.12378613464732025,0.5304861336849162,0.2513006811843384,0.0544234290409078,-2.910795189739402,-3.3347947737206876,-4.507100379295191,-1.0928918870461106,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,720,12,12,0
Calibrated-Hybrid-LogTarget-Small-isotonic,0.01,lower_tail_return,common_normal_zero_mean,zero_mean,745,13,7.45,1.74496644295302,0.0174496644295302,0.06452869084689679,0.4965022836348677,0.14374767479529763,0.053532378663329376,-2.90585872347185,-3.329139239464032,-4.334820934893828,-0.928155185901322,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,718,13,13,0
RegimeAwareCombo-Vol20Q75,0.01,lower_tail_return,common_normal_zero_mean,zero_mean,745,13,7.45,1.74496644295302,0.0174496644295302,0.06452869084689679,0.4965022836348677,0.14374767479529763,0.05311851502146836,-2.714464477266806,-3.109865642264658,-4.329652870030479,-1.0273962492545226,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,718,13,13,0
AdvGARCH-BestAsymmetric,0.01,lower_tail_return,common_normal_zero_mean,zero_mean,745,15,7.45,2.013422818791946,0.020134228187919462,0.01452954207232434,0.43204213507903166,0.03706871345447983,0.05351772471742489,-2.3282202247998867,-2.6673593061793452,-4.054563123280794,-1.088884370370785,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,714,15,15,0
AdvGARCH-BestQLIKE,0.01,lower_tail_return,common_normal_zero_mean,zero_mean,745,15,7.45,2.013422818791946,0.020134228187919462,0.01452954207232434,0.43204213507903166,0.03706871345447983,0.0538814637749486,-2.327219377497844,-2.6662126709355087,-4.054563123280794,-1.110151104867201,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,714,15,15,0
ARIMA-GARCH,0.01,lower_tail_return,common_normal_zero_mean,zero_mean,745,16,7.45,2.1476510067114094,0.021476510067114093,0.006310286031210278,0.4016592144647607,0.016883440708480166,0.05548314602067608,-2.4117913928125048,-2.763103828262042,-3.9159282181080712,-1.06437477429991,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,712,16,16,0
"GARCH(1,1)",0.01,lower_tail_return,common_normal_zero_mean,zero_mean,745,16,7.45,2.1476510067114094,0.021476510067114093,0.006310286031210278,0.4016592144647607,0.016883440708480166,0.054979170413884525,-2.410515227085537,-2.7616417704670813,-3.9159282181080712,-1.0381709640946086,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,712,16,16,0
HAR-Parkinson,0.01,lower_tail_return,common_normal_zero_mean,zero_mean,745,16,7.45,2.1476510067114094,0.021476510067114093,0.006310286031210278,0.4016592144647607,0.016883440708480166,0.05309838779355492,-2.423204115908887,-2.7761789801895627,-3.941840064139642,-0.9272972824046606,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,712,16,16,0
HAR-SquaredReturn,0.01,lower_tail_return,common_normal_zero_mean,zero_mean,745,16,7.45,2.1476510067114094,0.021476510067114093,0.006310286031210278,0.4016592144647607,0.016883440708480166,0.05588933920102009,-2.42565115353876,-2.778982464381086,-3.9623345782558443,-1.0718899010990686,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,712,16,16,0
HistoricalMean,0.01,lower_tail_return,common_normal_zero_mean,zero_mean,745,17,7.45,2.2818791946308723,0.022818791946308724,0.002592452421968538,0.39804339438559333,0.00748990254814017,0.059311787473031626,-2.5470831213945635,-2.918102761540985,-3.998573912708057,-1.080471151167072,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,711,16,16,1
EWMA(lambda=0.90),0.01,lower_tail_return,common_normal_zero_mean,zero_mean,745,18,7.45,2.4161073825503356,0.024161073825503355,0.001009908666537184,0.34475925951967723,0.0028770714642782423,0.0574665961456984,-2.339486525537876,-2.680266707205927,-3.5715627285045852,-1.0612298235575408,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,708,18,18,0
RollingVol-20,0.01,lower_tail_return,common_normal_zero_mean,zero_mean,745,20,7.45,2.684563758389262,0.026845637583892617,0.0001318258509465679,0.2931467566868951,0.0003857557202051674,0.06220375329496923,-2.3005334029682305,-2.6356394967366863,-3.350942850645699,-1.15400490312704,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,704,20,20,0
RollingVol-10,0.01,lower_tail_return,common_normal_zero_mean,zero_mean,745,27,7.45,3.6241610738255035,0.036241610738255034,2.6415179001714407e-08,0.15382000552204395,6.865195245653906e-08,0.05910994864304182,-2.20777022801082,-2.529364018430222,-2.8337947790744815,-0.735123890365864,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,690,27,27,0
RollingVol-5,0.01,lower_tail_return,common_normal_zero_mean,zero_mean,745,45,7.45,6.040268456375839,0.06040268456375839,4.5821392356849956e-21,0.4369800687513429,4.042666891203099e-20,0.06769470567752982,-2.079688175113531,-2.3826249547836533,-2.0924005275014603,-0.5710773501064185,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,658,41,41,4
HAR-Parkinson,0.025,lower_tail_return,common_normal_zero_mean,zero_mean,745,17,18.625,0.912751677852349,0.022818791946308724,0.6987989169042421,0.37255624146565014,0.6234900432947121,0.09015837342090002,-2.0415660303293324,-2.435135953422892,-3.835341318205141,-1.2114108902971954,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,710,17,17,0
RegimeAwareCombo-Vol20Q75,0.025,lower_tail_return,common_normal_zero_mean,zero_mean,745,17,18.625,0.912751677852349,0.022818791946308724,0.6987989169042421,0.37255624146565014,0.6234900432947121,0.0928616959993162,-2.2869548755470794,-2.72783047844997,-3.9063369291081758,-1.0183592210780903,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,710,17,17,0
Calibrated-Hybrid-LogTarget-Small-isotonic,0.025,lower_tail_return,common_normal_zero_mean,zero_mean,745,16,18.625,0.8590604026845637,0.021476510067114093,0.5280402304134232,0.4016592144647607,0.5765129649216599,0.09592329484287923,-2.4482058361605015,-2.920167148378976,-3.9869476267865833,-1.05967822137904,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,712,16,16,0
ComboStack-PoolD_AllStable,0.025,lower_tail_return,common_normal_zero_mean,zero_mean,745,16,18.625,0.8590604026845637,0.021476510067114093,0.5280402304134232,0.4016592144647607,0.5765129649216599,0.0945658197698198,-2.4887968082476717,-2.9685831849143742,-3.990993371682003,-0.9271465327396615,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,712,16,16,0
ARIMA-GARCH,0.025,lower_tail_return,common_normal_zero_mean,zero_mean,745,22,18.625,1.1812080536912752,0.02953020134228188,0.44112117105692916,0.6777539371686541,0.6818028988748468,0.09256193165795315,-2.0319507331143103,-2.4236670341700717,-3.3453475564886292,-0.9693051383766087,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,701,21,21,1
"GARCH(1,1)",0.025,lower_tail_return,common_normal_zero_mean,zero_mean,745,22,18.625,1.1812080536912752,0.02953020134228188,0.44112117105692916,0.6777539371686541,0.6818028988748468,0.09213400238219616,-2.030875554766707,-2.422384584613362,-3.3453475564886292,-0.9531060081603939,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,701,21,21,1
HistoricalMean,0.025,lower_tail_return,common_normal_zero_mean,zero_mean,745,22,18.625,1.1812080536912752,0.02953020134228188,0.44112117105692916,0.6777539371686541,0.6818028988748468,0.09826089023160162,-2.1459349391679003,-2.559624938132005,-3.5957486927504863,-1.0361237546184814,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,701,21,21,1
LSTM,0.025,lower_tail_return,common_normal_zero_mean,zero_mean,745,15,18.625,0.8053691275167785,0.020134228187919462,0.37885199141283377,0.3021475420090354,0.39869532209659153,0.09618115759830385,-2.452364842731815,-2.9251279217665966,-4.18966775101523,-1.1515997088319563,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,715,14,14,1
Hybrid-QLIKE,0.025,lower_tail_return,common_normal_zero_mean,zero_mean,745,14,18.625,0.7516778523489933,0.01879194630872483,0.2566277921905625,0.25865684222506247,0.27764975447157647,0.09742726383203336,-2.6543168794788494,-3.1660119579642174,-4.3020321784982,-1.0285187702666376,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,717,13,13,1
AdvGARCH-BestAsymmetric,0.025,lower_tail_return,common_normal_zero_mean,zero_mean,745,24,18.625,1.2885906040268456,0.032214765100671144,0.22689395095445766,0.7991673693521846,0.46650820480910205,0.09042437515428206,-1.9615414528521264,-2.339684362400492,-3.26987358465812,-0.8353661372571483,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,697,23,23,1
AdvGARCH-BestQLIKE,0.025,lower_tail_return,common_normal_zero_mean,zero_mean,745,24,18.625,1.2885906040268456,0.032214765100671144,0.22689395095445766,0.7991673693521846,0.46650820480910205,0.09061848831358636,-1.9606982321593323,-2.3386785869344098,-3.26987358465812,-0.843333861932682,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,697,23,23,1
HAR-SquaredReturn,0.025,lower_tail_return,common_normal_zero_mean,zero_mean,745,24,18.625,1.2885906040268456,0.032214765100671144,0.22689395095445766,0.7991673693521846,0.46650820480910205,0.09349162412019515,-2.0436276762580787,-2.4375950402463094,-3.350585932175535,-0.8573912123096727,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,697,23,23,1
ARIMA-GARCH-LSTM,0.025,lower_tail_return,common_normal_zero_mean,zero_mean,745,13,18.625,0.697986577181208,0.0174496644295302,0.16312590686908135,0.4965022836348677,0.3000800939439003,0.09623440816022684,-2.5468846972201886,-3.0378691667508737,-4.361674639830458,-1.2619842193867625,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,718,13,13,0
