model,regime,n_obs,rmse,mae,qlike,mean_actual_var,mean_pred_var,pred_actual_ratio
RollingVol-5,calm,373,1.5050822475874313,0.7954874901004055,-0.45802559044484314,0.0831955140456374,0.8693457636406278,10.44943076093914
RollingVol-10,calm,373,1.585849923947425,0.8491893655321384,-0.3528154377846581,0.0831955140456374,0.9294360978784543,11.171709298756259
RollingVol-20,calm,373,1.572128822941607,0.9275642959262423,-0.23488913223602068,0.0831955140456374,1.0104545275374988,12.145541008175128
EWMA(lambda=0.90),calm,373,1.3216646773887384,0.9015646461782548,-0.19459991375341706,0.08319551404563735,0.984470747297703,11.83321911753158
AdvGARCH-BestQLIKE,calm,373,1.076592845147276,0.8549373323516872,-0.11621205848936737,0.0831955140456374,0.9381328463973246,11.276243162374191
AdvGARCH-BestAsymmetric,calm,373,1.0669441646921278,0.8516746814234792,-0.11458925489969635,0.0831955140456374,0.9348701954691165,11.237026493475213
"GARCH(1,1)",calm,373,1.2522087294481514,0.9319726354995966,-0.07676533658803791,0.0831955140456374,1.015168149545234,12.202198173670247
ARIMA-GARCH,calm,373,1.2589832025322671,0.9392089396849224,-0.07046283366243634,0.0831955140456374,1.0224044537305594,12.289177673326394
HAR-SquaredReturn,calm,373,1.1257693290019042,0.9369594939396361,0.0044229295324485765,0.0831955140456374,1.0201550079852735,12.262139607980082
HAR-Parkinson,calm,373,1.1732412759262965,0.9579404463897797,0.007278918912586039,0.08319551404563735,1.0411359604354171,12.51432811466609
HistoricalMean,calm,373,1.1184089823963739,1.1155773943958078,0.25069901971559166,0.0831955140456374,1.198772908441445,14.409105132565813
Calibrated-Hybrid-LogTarget-Small-isotonic,calm,373,1.519459606388096,1.4031676908798771,0.391902935560404,0.0831955140456374,1.4863632049255144,17.865905655804482
ComboStack-PoolD_AllStable,calm,373,1.5347868125528736,1.439222667946904,0.42884773877716126,0.0831955140456374,1.5224181819925413,18.29928211222314
LSTM,calm,373,1.456223799683205,1.44339811261845,0.47176195867368365,0.0831955140456374,1.5265936266640876,18.34947045133546
ARIMA-GARCH-LSTM,calm,373,1.5809415821951969,1.5436660412814023,0.5217422160349521,0.0831955140456374,1.6268615553270396,19.554678806775748
Hybrid-QLIKE,calm,373,1.7238179975834955,1.7174025771130887,0.6319188935663721,0.0831955140456374,1.8005980911587263,21.642970919934427
Hybrid-QLIKE,extreme,75,11.097998661955213,5.975245832833057,4.6924595297974605,7.93821096681794,1.9629651339848837,0.2472805449729368
ComboStack-PoolD_AllStable,extreme,75,10.724260121400052,5.829905532121206,4.725093761056702,7.93821096681794,2.233784437796912,0.28139645659887674
ARIMA-GARCH-LSTM,extreme,75,11.062956469909802,5.997756358218595,4.795636796882102,7.93821096681794,1.9404546085993448,0.2444448272678224
Calibrated-Hybrid-LogTarget-Small-isotonic,extreme,75,10.784725471755424,5.86462695735447,5.043579404024128,7.93821096681794,2.117911910808469,0.26679965040755793
LSTM,extreme,75,11.213506209706717,6.196084727677112,5.100721529257882,7.93821096681794,1.7421262391408285,0.21946081383110003
HAR-Parkinson,extreme,75,10.892760389377635,6.280225207986981,6.334914849106899,7.93821096681794,1.7916653622892451,0.2257014042305606
HAR-SquaredReturn,extreme,75,10.666861615165246,6.1841784876586665,6.475478822728368,7.93821096681794,1.9582648624393593,0.24668843781363203
AdvGARCH-BestAsymmetric,extreme,75,10.671800275281557,6.18118405896665,6.728062604644371,7.93821096681794,1.914621912857517,0.2411906059010926
AdvGARCH-BestQLIKE,extreme,75,10.748386562937235,6.219292561171252,6.755768690547408,7.93821096681794,1.8859349893316137,0.23757682898765253
"GARCH(1,1)",extreme,75,10.621829559357785,6.0624535926369685,6.75752868881366,7.93821096681794,2.0687400646469194,0.26060532698039157
ARIMA-GARCH,extreme,75,10.7206984838624,6.114597796028174,6.761725699799334,7.93821096681794,2.0047700568940496,0.25254683520935306
HistoricalMean,extreme,75,11.554955616597907,6.7394380583764955,6.803245709300699,7.93821096681794,1.1987729084414447,0.15101298182328066
EWMA(lambda=0.90),extreme,75,10.77480196560601,6.113360519463974,8.344827792947813,7.93821096681794,1.9717460105232218,0.24838669805642657
RollingVol-10,extreme,75,10.783941432228012,6.142450337957622,8.837506397236055,7.93821096681794,2.0226375546311846,0.25479765693881096
RollingVol-20,extreme,75,11.175901526235778,6.305170863816614,8.840260278032396,7.93821096681794,1.7748859605944702,0.22358765318956236
RollingVol-5,extreme,75,10.664917201509704,6.459620903056224,10.95070339126396,7.93821096681794,2.3410390702669,0.29490764103556116
LSTM,high,111,0.3975914771487578,0.32695261011287025,1.425350404849943,1.52400099858541,1.6231063335865468,1.0650297047660253
Hybrid-QLIKE,high,111,0.5121422891680453,0.44021223527401254,1.4412745339784963,1.52400099858541,1.8867833517693184,1.2380460075292903
ARIMA-GARCH-LSTM,high,111,0.5944561388418972,0.4668938333390702,1.444615422308013,1.52400099858541,1.8435616804672792,1.2096853494049467
HistoricalMean,high,111,0.48499901462110234,0.3580198831315762,1.4525992915635768,1.52400099858541,1.1987729084414447,0.7865958812062167
ComboStack-PoolD_AllStable,high,111,0.7298602493000945,0.556215576767373,1.4639767410250455,1.52400099858541,1.8180545890010933,1.1929484237140437
Calibrated-Hybrid-LogTarget-Small-isotonic,high,111,0.682518866840545,0.5372303200534411,1.471033381413376,1.52400099858541,1.7435730952411796,1.1440760845036049
HAR-Parkinson,high,111,0.9779432553702433,0.7268430659935176,1.6235711566132771,1.52400099858541,1.4058219992546088,0.9224547756592707
HAR-SquaredReturn,high,111,1.7156447055022765,0.873469145934629,1.627571374274954,1.52400099858541,1.524949913033134,1.0006226468674266
AdvGARCH-BestQLIKE,high,111,1.331508206579292,0.8489057385491299,1.735962620450214,1.52400099858541,1.415192762956366,0.9286035667102315
AdvGARCH-BestAsymmetric,high,111,1.4497816228326008,0.8741236105921124,1.7382213856660371,1.52400099858541,1.4322740603556647,0.9398117597594182
ARIMA-GARCH,high,111,1.971832738522978,1.0246749319269897,1.7473632403208275,1.52400099858541,1.6232440315800472,1.0651200577209303
"GARCH(1,1)",high,111,2.057295768032738,1.0498903429137867,1.755566876657693,1.52400099858541,1.6439054749653808,1.0786774263870347
EWMA(lambda=0.90),high,111,2.039870815813626,1.1052862126454743,2.03026662946273,1.52400099858541,1.6561309492344123,1.0866993858741867
RollingVol-20,high,111,1.9937894094235866,1.1268786351159432,2.1615872516726964,1.52400099858541,1.6501440219864605,1.0827709584955243
RollingVol-10,high,111,3.097491749032106,1.4778785704163744,2.6156585915866275,1.52400099858541,1.757567074496604,1.1532584795731708
RollingVol-5,high,111,4.2941283611678625,1.758262465381779,4.552985736040647,1.52400099858541,1.9521887850953643,1.280962930409758
AdvGARCH-BestAsymmetric,normal,186,0.9093739631749951,0.5697465331150972,0.6050447599417894,0.5711382695332308,1.0474090091923287,1.8338974379152277
HAR-Parkinson,normal,186,0.806354678683645,0.5535473243143406,0.6057443059185621,0.5711382695332308,1.080673776402299,1.8921403695912231
HAR-SquaredReturn,normal,186,0.916078548240107,0.5713275467828953,0.6062912348917405,0.5711382695332308,1.1040411474006258,1.9330540541485968
AdvGARCH-BestQLIKE,normal,186,0.9143610603612339,0.5766875215912336,0.6087147309312037,0.5711382695332308,1.0507664893253883,1.8397760146315167
"GARCH(1,1)",normal,186,1.2503661137639743,0.6989932978695045,0.6390047310942621,0.5711382695332308,1.1736372491536526,2.054909138049567
ARIMA-GARCH,normal,186,1.2455587075627528,0.7052572040033145,0.6417332713643759,0.5711382695332308,1.1779925090809644,2.0625347169323676
HistoricalMean,normal,186,0.6608592707812957,0.6276346389082144,0.6577342071573734,0.5711382695332308,1.198772908441445,2.0989189000084965
EWMA(lambda=0.90),normal,186,1.3861940163965487,0.7922276025522559,0.7221143300155909,0.5711382695332308,1.183147781909455,2.0715610300048635
RollingVol-20,normal,186,1.5682373436592467,0.8371901307489618,0.7647377431213671,0.5711382695332308,1.1900448666758723,2.0836370633129695
LSTM,normal,186,1.0283239870120895,0.9928399038662534,0.8082889168473855,0.5711382695332308,1.5639781733994842,2.7383529642964795
Calibrated-Hybrid-LogTarget-Small-isotonic,normal,186,1.1889262559218337,1.051880985242098,0.8162924205846899,0.5711382695332308,1.6213499429505738,2.8388045932828847
ComboStack-PoolD_AllStable,normal,186,1.1991198366309972,1.073098728443582,0.8264745668732096,0.5711382695332308,1.6441550383011425,2.8787337953116796
ARIMA-GARCH-LSTM,normal,186,1.1885468075547438,1.1242291603128456,0.8561276395452965,0.5711382695332308,1.6953674298460766,2.9684010340116673
RollingVol-10,normal,186,2.2172110811560892,0.9334989209892456,0.8900364700902141,0.5711382695332308,1.210454595743069,2.11937224366409
Hybrid-QLIKE,normal,186,1.2822224916117357,1.259955487209144,0.9147824238708677,0.5711382695332308,1.8310937567423748,3.2060428348442787
RollingVol-5,normal,186,1.503710853427173,0.7759438090916625,1.7751165361308534,0.5711382695332308,0.9855926964577825,1.7256639049301832
