model,threshold_level,threshold_value,spike_days,spike_underprediction_rate,severe_spike_underprediction_rate,average_pred_actual_ratio_spike_days,qlike_spike_days
Hybrid-QLIKE,0.9,2.3761147014451307,75,1.0,0.5466666666666666,0.44719086560004606,4.6924595297974605
ARIMA-GARCH-LSTM,0.9,2.3761147014451307,75,1.0,0.5733333333333334,0.43266365818335517,4.795636796882102
LSTM,0.9,2.3761147014451307,75,1.0,0.5733333333333334,0.39529203348421904,5.100721529257882
ComboStack-PoolD_AllStable,0.9,2.3761147014451307,75,0.9466666666666667,0.5866666666666667,0.4834781808350421,4.725093761056702
Calibrated-Hybrid-LogTarget-Small-isotonic,0.9,2.3761147014451307,75,0.96,0.6133333333333333,0.4502903420430723,5.043579404024128
RollingVol-20,0.9,2.3761147014451307,75,0.9333333333333333,0.6933333333333334,0.391626091432605,8.840260278032396
EWMA(lambda=0.90),0.9,2.3761147014451307,75,0.9333333333333333,0.7333333333333333,0.39992440126867207,8.344827792947813
"GARCH(1,1)",0.9,2.3761147014451307,75,0.9466666666666667,0.7333333333333333,0.4085745876340797,6.75752868881366
ARIMA-GARCH,0.9,2.3761147014451307,75,0.9466666666666667,0.7466666666666667,0.4028199535119237,6.761725699799334
AdvGARCH-BestQLIKE,0.9,2.3761147014451307,75,0.9466666666666667,0.76,0.37829795628590057,6.755768690547408
RollingVol-10,0.9,2.3761147014451307,75,0.9333333333333333,0.76,0.4017401182481649,8.837506397236055
AdvGARCH-BestAsymmetric,0.9,2.3761147014451307,75,0.9733333333333334,0.7733333333333333,0.37617068640271467,6.728062604644371
HAR-Parkinson,0.9,2.3761147014451307,75,0.9333333333333333,0.7733333333333333,0.38276099517722934,6.334914849106899
RollingVol-5,0.9,2.3761147014451307,75,0.8666666666666667,0.7866666666666666,0.4277394844871856,10.95070339126396
HAR-SquaredReturn,0.9,2.3761147014451307,75,0.96,0.8266666666666667,0.3786653955931621,6.475478822728368
HistoricalMean,0.9,2.3761147014451307,75,1.0,0.9733333333333334,0.2753584367737429,6.803245709300699
