model,var_level,var_distribution,distribution_specific_quantile_available,n_obs,observed_violations,expected_violations,violation_rate,kupiec_stat,kupiec_p_value,christoffersen_independence_stat,christoffersen_independence_p_value,christoffersen_conditional_coverage_stat,christoffersen_conditional_coverage_p_value,n00,n01,n10,n11
ComboStack-PoolD_AllStable,0.01,common_normal,False,745,11,7.45,0.01476510067114094,1.4901017468075395,0.22220067392503876,0.3301624611976308,0.5655634406943051,1.8202642080051703,0.4024710524846683,722,11,11,0
Hybrid-QLIKE,0.01,common_normal,False,745,11,7.45,0.01476510067114094,1.4901017468075395,0.22220067392503876,0.3301624611976308,0.5655634406943051,1.8202642080051703,0.4024710524846683,722,11,11,0
ARIMA-GARCH-LSTM,0.01,common_normal,False,745,12,7.45,0.016107382550335572,2.36875000014669,0.12378613464732025,0.3934602474418085,0.5304861336849162,2.7622102475884986,0.2513006811843384,720,12,12,0
LSTM,0.01,common_normal,False,745,12,7.45,0.016107382550335572,2.36875000014669,0.12378613464732025,0.3934602474418085,0.5304861336849162,2.7622102475884986,0.2513006811843384,720,12,12,0
Calibrated-Hybrid-LogTarget-Small-isotonic,0.01,common_normal,False,745,13,7.45,0.0174496644295302,3.4169868730328403,0.06452869084689679,0.46240467651227846,0.4965022836348677,3.879391549545119,0.14374767479529763,718,13,13,0
AdvGARCH-BestAsymmetric,0.01,common_normal,False,745,15,7.45,0.020134228187919462,5.972636421235251,0.01452954207232434,0.6173275152899578,0.43204213507903166,6.5899639365252085,0.03706871345447983,714,15,15,0
AdvGARCH-BestQLIKE,0.01,common_normal,False,745,15,7.45,0.020134228187919462,5.972636421235251,0.01452954207232434,0.6173275152899578,0.43204213507903166,6.5899639365252085,0.03706871345447983,714,15,15,0
ARIMA-GARCH,0.01,common_normal,False,745,16,7.45,0.021476510067114093,7.4594906207769895,0.006310286031210278,0.7033533335125526,0.4016592144647607,8.162843954289542,0.016883440708480166,712,16,16,0
"GARCH(1,1)",0.01,common_normal,False,745,16,7.45,0.021476510067114093,7.4594906207769895,0.006310286031210278,0.7033533335125526,0.4016592144647607,8.162843954289542,0.016883440708480166,712,16,16,0
HAR-Parkinson,0.01,common_normal,False,745,16,7.45,0.021476510067114093,7.4594906207769895,0.006310286031210278,0.7033533335125526,0.4016592144647607,8.162843954289542,0.016883440708480166,712,16,16,0
HAR-SquaredReturn,0.01,common_normal,False,745,16,7.45,0.021476510067114093,7.4594906207769895,0.006310286031210278,0.7033533335125526,0.4016592144647607,8.162843954289542,0.016883440708480166,712,16,16,0
HistoricalMean,0.01,common_normal,False,745,17,7.45,0.022818791946308724,9.074169813035581,0.002592452421968538,0.7142291718981539,0.39804339438559333,9.788398984933735,0.00748990254814017,711,16,16,1
EWMA(lambda=0.90),0.01,common_normal,False,745,18,7.45,0.024161073825503355,10.80931125901779,0.001009908666537184,0.8926534507039605,0.34475925951967723,11.70196470972175,0.0028770714642782423,708,18,18,0
RollingVol-20,0.01,common_normal,False,745,20,7.45,0.026845637583892617,14.615499522995208,0.0001318258509465679,1.105112953089673,0.2931467566868951,15.72061247608488,0.0003857557202051674,704,20,20,0
RollingVol-10,0.01,common_normal,False,745,27,7.45,0.036241610738255034,30.95447886092498,2.6415179001714407e-08,2.033953667876375,0.15382000552204395,32.988432528801354,6.865195245653906e-08,690,27,27,0
RollingVol-5,0.01,common_normal,False,745,45,7.45,0.06040268456375839,88.70539468838189,4.5821392356849956e-21,0.6041998398328019,0.4369800687513429,89.30959452821469,4.042666891203099e-20,658,41,41,4
HAR-Parkinson,0.025,common_normal,False,745,17,18.625,0.022818791946308724,0.14972435174232146,0.6987989169042421,0.7951206143451657,0.37255624146565014,0.9448449660874871,0.6234900432947121,710,17,17,0
Calibrated-Hybrid-LogTarget-Small-isotonic,0.025,common_normal,False,745,16,18.625,0.021476510067114093,0.3981615674935881,0.5280402304134232,0.7033533335125526,0.4016592144647607,1.1015149010061407,0.5765129649216599,712,16,16,0
ComboStack-PoolD_AllStable,0.025,common_normal,False,745,16,18.625,0.021476510067114093,0.3981615674935881,0.5280402304134232,0.7033533335125526,0.4016592144647607,1.1015149010061407,0.5765129649216599,712,16,16,0
ARIMA-GARCH,0.025,common_normal,False,745,22,18.625,0.02953020134228188,0.5933641300923114,0.44112117105692916,0.17266520488945503,0.6777539371686541,0.7660293349817664,0.6818028988748468,701,21,21,1
"GARCH(1,1)",0.025,common_normal,False,745,22,18.625,0.02953020134228188,0.5933641300923114,0.44112117105692916,0.17266520488945503,0.6777539371686541,0.7660293349817664,0.6818028988748468,701,21,21,1
HistoricalMean,0.025,common_normal,False,745,22,18.625,0.02953020134228188,0.5933641300923114,0.44112117105692916,0.17266520488945503,0.6777539371686541,0.7660293349817664,0.6818028988748468,701,21,21,1
LSTM,0.025,common_normal,False,745,15,18.625,0.020134228187919462,0.7744237759617363,0.37885199141283377,1.0646917391464115,0.3021475420090354,1.8391155151081477,0.39869532209659153,715,14,14,1
Hybrid-QLIKE,0.025,common_normal,False,745,14,18.625,0.01879194630872483,1.2868579860817988,0.2566277921905625,1.2759316851262383,0.25865684222506247,2.562789671208037,0.27764975447157647,717,13,13,1
AdvGARCH-BestAsymmetric,0.025,common_normal,False,745,24,18.625,0.032214765100671144,1.4602273468692886,0.22689395095445766,0.06473199479907521,0.7991673693521846,1.5249593416683638,0.46650820480910205,697,23,23,1
AdvGARCH-BestQLIKE,0.025,common_normal,False,745,24,18.625,0.032214765100671144,1.4602273468692886,0.22689395095445766,0.06473199479907521,0.7991673693521846,1.5249593416683638,0.46650820480910205,697,23,23,1
HAR-SquaredReturn,0.025,common_normal,False,745,24,18.625,0.032214765100671144,1.4602273468692886,0.22689395095445766,0.06473199479907521,0.7991673693521846,1.5249593416683638,0.46650820480910205,697,23,23,1
ARIMA-GARCH-LSTM,0.025,common_normal,False,745,13,18.625,0.0174496644295302,1.9450070437791283,0.16312590686908135,0.46240467651227846,0.4965022836348677,2.4074117202914067,0.3000800939439003,718,13,13,0
EWMA(lambda=0.90),0.025,common_normal,False,745,27,18.625,0.036241610738255034,3.3988693195328494,0.06524112538141143,0.0004438646158746451,0.9831913359543621,3.399313184148724,0.1827462697958539,691,26,26,1
RollingVol-20,0.025,common_normal,False,745,28,18.625,0.03758389261744966,4.202708683975487,0.04035946424807943,0.0030095020177896004,0.9562508530187996,4.205718185993277,0.12210681396460975,689,27,27,1
RollingVol-10,0.025,common_normal,False,745,36,18.625,0.04832214765100671,13.117987223779494,0.00029247408701320505,3.6625961540672733,0.055646860512013945,16.780583377846767,0.0002270610375086509,672,36,36,0
RollingVol-5,0.025,common_normal,False,745,57,18.625,0.07651006711409396,52.82836169924764,3.6400685148029164e-13,0.037050526758719116,0.8473622116400858,52.865412226006356,3.314527246051259e-12,634,53,53,4
EWMA(lambda=0.90),0.05,common_normal,False,745,38,37.25,0.05100671140939597,0.01579538551538917,0.899985476138744,0.001983328149663066,0.9644782944175919,0.017778713665052237,0.9911500366858231,670,36,36,2
ARIMA-GARCH,0.05,common_normal,False,745,35,37.25,0.04697986577181208,0.14587354802921482,0.7025103516368938,0.3212220037223119,0.5708741893418507,0.4670955517515267,0.7917197697313111,675,34,34,1
"GARCH(1,1)",0.05,common_normal,False,745,35,37.25,0.04697986577181208,0.14587354802921482,0.7025103516368938,0.3212220037223119,0.5708741893418507,0.4670955517515267,0.7917197697313111,675,34,34,1
AdvGARCH-BestAsymmetric,0.05,common_normal,False,745,34,37.25,0.04563758389261745,0.3070846893322141,0.5794746706215251,0.2454152202128057,0.6203220256527404,0.5524999095450198,0.7586232855501056,677,33,33,1
AdvGARCH-BestQLIKE,0.05,common_normal,False,745,34,37.25,0.04563758389261745,0.3070846893322141,0.5794746706215251,0.2454152202128057,0.6203220256527404,0.5524999095450198,0.7586232855501056,677,33,33,1
RollingVol-20,0.05,common_normal,False,745,41,37.25,0.05503355704697987,0.38535448383174753,0.5347514465104436,1.25170824064719,0.2632264632275044,1.6370627244789375,0.4410789642801801,666,37,37,4
HAR-Parkinson,0.05,common_normal,False,745,33,37.25,0.04429530201342282,0.5299407843329504,0.46663175603992935,1.3888918647512583,0.23859232628489946,1.9188326490842087,0.3831164363897572,681,30,30,3
HAR-SquaredReturn,0.05,common_normal,False,745,31,37.25,0.04161073825503356,1.1678168592314933,0.2798502716136477,0.3669717622302642,0.5446595619922735,1.5347886214617574,0.46422110970152186,684,29,29,2
HistoricalMean,0.05,common_normal,False,745,30,37.25,0.040268456375838924,1.5867409540534538,0.2077923792030123,2.1010063643132355,0.14720222492519955,3.6877473183666893,0.1582034115351846,687,27,27,3
RollingVol-10,0.05,common_normal,False,745,48,37.25,0.06442953020134229,3.0048248992128492,0.08301694680621093,2.1324267697010555,0.14421228123292365,5.137251668913905,0.07664079022858207,649,47,47,1
Calibrated-Hybrid-LogTarget-Small-isotonic,0.05,common_normal,False,745,22,37.25,0.02953020134228188,7.655441524569682,0.005660133729078627,0.17266520488945503,0.6777539371686541,7.828106729459137,0.019959434009675064,701,21,21,1
LSTM,0.05,common_normal,False,745,22,37.25,0.02953020134228188,7.655441524569682,0.005660133729078627,0.17266520488945503,0.6777539371686541,7.828106729459137,0.019959434009675064,701,21,21,1
