model,diagnostic,series,lags,n_obs,statistic,p_value,interpretation_flag
"GARCH(1,1)",Ljung-Box,standardized_residual,5,2471,46.152430701453206,8.455715565229226e-09,remaining_dependence
"GARCH(1,1)",Ljung-Box,standardized_residual,10,2471,52.51980424570746,9.14165845216436e-08,remaining_dependence
"GARCH(1,1)",Ljung-Box,standardized_residual,20,2471,59.066255113485106,9.92342071792245e-06,remaining_dependence
"GARCH(1,1)",Ljung-Box,squared_standardized_residual,5,2471,1.2826231939395856,0.9367095411788894,not_rejected
"GARCH(1,1)",Ljung-Box,squared_standardized_residual,10,2471,3.4167372189126057,0.9698501478222196,not_rejected
"GARCH(1,1)",Ljung-Box,squared_standardized_residual,20,2471,14.272938168079202,0.8163920437578791,not_rejected
"GARCH(1,1)",ARCH-LM,standardized_residual,5,2471,1.2674009254254879,0.9382500788660673,not_rejected
"GARCH(1,1)",ARCH-LM,standardized_residual,10,2471,3.3568329948357842,0.9717373708454626,not_rejected
"GARCH(1,1)",ARCH-LM,standardized_residual,20,2471,13.935708430961457,0.8337406434536776,not_rejected
"GARCH(1,1)",Jarque-Bera,standardized_residual,0,2471,605.0859197540503,4.0482002441451766e-132,non_normal
AdvGARCH-BestQLIKE,Ljung-Box,standardized_residual,5,2471,4.603463516545604,0.4661608304529299,not_rejected
AdvGARCH-BestQLIKE,Ljung-Box,standardized_residual,10,2471,9.00053872808679,0.5320524497917979,not_rejected
AdvGARCH-BestQLIKE,Ljung-Box,standardized_residual,20,2471,15.54000111311108,0.7447204627499995,not_rejected
AdvGARCH-BestQLIKE,Ljung-Box,squared_standardized_residual,5,2471,2.309343235615597,0.8048936306635011,not_rejected
AdvGARCH-BestQLIKE,Ljung-Box,squared_standardized_residual,10,2471,3.789023524794163,0.956362979923081,not_rejected
AdvGARCH-BestQLIKE,Ljung-Box,squared_standardized_residual,20,2471,15.05699597008426,0.773137048536436,not_rejected
AdvGARCH-BestQLIKE,ARCH-LM,standardized_residual,5,2471,2.2729891410087286,0.8102257560539063,not_rejected
AdvGARCH-BestQLIKE,ARCH-LM,standardized_residual,10,2471,3.698678219018756,0.9599181241266437,not_rejected
AdvGARCH-BestQLIKE,ARCH-LM,standardized_residual,20,2471,14.517480829392893,0.8033199999672007,not_rejected
AdvGARCH-BestQLIKE,Jarque-Bera,standardized_residual,0,2471,572.5045924165097,4.810689475768916e-125,non_normal
AdvGARCH-BestAsymmetric,Ljung-Box,standardized_residual,5,2471,44.983366749299705,1.4622180164780001e-08,remaining_dependence
AdvGARCH-BestAsymmetric,Ljung-Box,standardized_residual,10,2471,52.17551964084118,1.058835295051569e-07,remaining_dependence
AdvGARCH-BestAsymmetric,Ljung-Box,standardized_residual,20,2471,57.80139855601562,1.5502930264650883e-05,remaining_dependence
AdvGARCH-BestAsymmetric,Ljung-Box,squared_standardized_residual,5,2471,1.937566943476557,0.8577146643426419,not_rejected
AdvGARCH-BestAsymmetric,Ljung-Box,squared_standardized_residual,10,2471,3.2489266970732134,0.9749441917066975,not_rejected
AdvGARCH-BestAsymmetric,Ljung-Box,squared_standardized_residual,20,2471,15.089365193013627,0.7712714712065657,not_rejected
AdvGARCH-BestAsymmetric,ARCH-LM,standardized_residual,5,2471,1.9210301146002604,0.8599605969863007,not_rejected
AdvGARCH-BestAsymmetric,ARCH-LM,standardized_residual,10,2471,3.2128783806511105,0.9759610054859158,not_rejected
AdvGARCH-BestAsymmetric,ARCH-LM,standardized_residual,20,2471,14.528320208273676,0.8027314086771392,not_rejected
AdvGARCH-BestAsymmetric,Jarque-Bera,standardized_residual,0,2471,550.0204716348047,3.669206190788574e-120,non_normal
