model,threshold_source,calm_threshold_q50,high_threshold_q75,spike_threshold_q90,overall_n,overall_qlike,overall_rmse,overall_mae,calm_n,calm_qlike,high_n,high_qlike,spike_n,spike_qlike,spike_underprediction_rate,severe_spike_underprediction_rate,mean_pred_actual_ratio_spike_days,mean_pred_actual_ratio_nonspike_days
AdvGARCH-BestAsymmetric,train_validation_actual_var_quantiles,0.3645273399631648,1.3043969496260623,3.391342685976334,745,1.0299916811125422,3.543267175153964,1.3211597805752873,415,-0.07533850616411511,146,4.378598411291332,45,9.36603979846991,1.0,0.8888888888888888,0.18839229612977754,1.9109785642699326
AdvGARCH-BestQLIKE,train_validation_actual_var_quantiles,0.3645273399631648,1.3043969496260623,3.391342685976334,745,1.0325481138224148,3.561391099658911,1.3246053463757665,415,-0.07683402707599425,146,4.393294363169473,45,9.390543843047487,1.0,0.8888888888888888,0.18327626857050744,1.9119954538121617
HAR-Parkinson,train_validation_actual_var_quantiles,0.3645273399631648,1.3043969496260623,3.391342685976334,745,1.034521462714548,3.5970617957984534,1.3583463889263883,415,0.0393203102798803,146,4.138110464895176,45,8.820664754392332,1.0,0.8888888888888888,0.16446881624267973,2.027774881549148
HAR-SquaredReturn,train_validation_actual_var_quantiles,0.3645273399631648,1.3043969496260623,3.391342685976334,745,1.0479748411471337,3.568915373256519,1.3644580895493243,415,0.03876206619685893,146,4.203504821558409,45,8.938692473232065,1.0,0.8888888888888888,0.19397697062219293,2.046146638109753
"GARCH(1,1)",train_validation_actual_var_quantiles,0.3645273399631648,1.3043969496260623,3.391342685976334,745,1.0629583683305006,3.628229675211951,1.407866300612457,415,-0.038019367672681874,146,4.40332807875706,45,9.406015571767691,1.0,0.8666666666666667,0.2029138325457533,2.117533791507047
RegimeAwareCombo-Vol20Q75,train_validation_actual_var_quantiles,0.3645273399631648,1.3043969496260623,3.391342685976334,745,1.0643462938091877,3.6011037394859713,1.486535563737811,415,0.27685968993626237,146,3.534985328808285,45,7.3501100436552065,1.0,0.8888888888888888,0.18924866788490025,2.46096937829597
ARIMA-GARCH,train_validation_actual_var_quantiles,0.3645273399631648,1.3043969496260623,3.391342685976334,745,1.065995300239258,3.651122454222711,1.4145456732793307,415,-0.03224607828517212,146,4.401285568738568,45,9.402924480598092,1.0,0.8666666666666667,0.1945224626334531,2.119294668730555
ComboStack-PoolD_AllStable,train_validation_actual_var_quantiles,0.3645273399631648,1.3043969496260623,3.391342685976334,745,1.1148562769601758,3.632614372498781,1.6582674665301618,415,0.4512266367089843,146,3.200294542609785,45,6.406340614753704,0.9777777777777777,0.8666666666666667,0.20383846375829642,2.902028372140917
Calibrated-Hybrid-LogTarget-Small-isotonic,train_validation_actual_var_quantiles,0.3645273399631648,1.3043969496260623,3.391342685976334,745,1.1269306655456073,3.6451799838091627,1.6355852339338812,415,0.4166085655483316,146,3.3688679184765706,45,6.90625183770515,1.0,0.8888888888888888,0.19758194955825858,2.8218817521721227
LSTM,train_validation_actual_var_quantiles,0.3645273399631648,1.3043969496260623,3.391342685976334,745,1.1638616895994396,3.742718362955779,1.643025251575996,415,0.4887128036948089,146,3.3738997340274355,45,7.022869447697442,1.0,0.9333333333333333,0.15489326809357942,2.7824421328188516
ARIMA-GARCH-LSTM,train_validation_actual_var_quantiles,0.3645273399631648,1.3043969496260623,3.391342685976334,745,1.1729861197030997,3.738682152467432,1.726914093400247,415,0.5389631050827005,146,3.222703769413404,45,6.532664876426449,1.0,0.9111111111111111,0.1757663246167706,3.013120102933757
HistoricalMean,train_validation_actual_var_quantiles,0.3645273399631648,1.3043969496260623,3.391342685976334,745,1.1910486529480493,3.7698344077665595,1.447044929332089,415,0.27142915239814824,146,4.282093391256968,45,9.62126432753247,1.0,1.0,0.10593258638297909,2.1376302121309068
EWMA(lambda=0.90),train_validation_actual_var_quantiles,0.3645273399631648,1.3043969496260623,3.391342685976334,745,1.225435138113187,3.696191886276454,1.4292976586075896,415,-0.14574617353602953,146,5.335460053791947,45,11.971050014266812,1.0,0.8888888888888888,0.19020798826917837,2.094280044940624
Hybrid-QLIKE,train_validation_actual_var_quantiles,0.3645273399631648,1.3043969496260623,3.391342685976334,745,1.2319076726800817,3.7863622106321877,1.841543459680507,415,0.6463363552409633,146,3.1630504624932416,45,6.3895475350330555,1.0,0.9111111111111111,0.174005746879505,3.2613167933371963
RollingVol-20,train_validation_actual_var_quantiles,0.3645273399631648,1.3043969496260623,3.391342685976334,745,1.2853466841404533,3.875261433052698,1.4760673691059205,415,-0.18652627189367355,146,5.660794978247832,45,12.486284688285272,1.0,0.8666666666666667,0.16198107707305828,2.1195501267316788
RollingVol-10,train_validation_actual_var_quantiles,0.3645273399631648,1.3043969496260623,3.391342685976334,745,1.3249633672509022,3.952644986503475,1.4967875561215123,415,-0.2836000264673137,146,5.7998636685301515,45,12.183483454254588,1.0,0.8666666666666667,0.1964424369136264,2.085243407688152
RollingVol-5,train_validation_actual_var_quantiles,0.3645273399631648,1.3043969496260623,3.391342685976334,745,1.9946473846036525,3.9870331884162753,1.5042699109867044,415,-0.36260364683510726,146,8.050805660463539,45,14.543425743149719,0.9111111111111111,0.8666666666666667,0.23901686877378484,1.9822382700072596
