model,split,n_obs,mse,rmse,mae,qlike,mean_actual_var,mean_pred_var
HistoricalMean,validation,750,24.9505968573315,4.995057242648127,2.191503249542924,1.9616529499965452,2.1342407332578572,1.198772908441445
HistoricalMean,test,745,14.211651461980647,3.7698344077665595,1.447044929332089,1.1910486529480493,1.2104611788275565,1.198772908441445
RollingVol-5,validation,750,25.624245708970232,5.062039678723413,2.4873813873103914,2.9991342093574858,2.1342407332578572,2.051054131196321
RollingVol-5,test,745,15.89643364553285,3.9870331884162753,1.5042699109867044,1.994647384603651,1.2104611788275565,1.2078618748922212
RollingVol-10,validation,750,23.63888769318547,4.861983925640383,2.461529445498201,2.009913892127444,2.1342407332578572,2.048206379218172
RollingVol-10,test,745,15.623402389331057,3.952644986503475,1.4967875561215123,1.324963367250902,1.2104611788275565,1.2330362163534714
RollingVol-20,validation,750,24.31104979524342,4.930623672036168,2.5583602262637064,1.7931683169607369,2.1342407332578572,2.0707889938779958
RollingVol-20,test,745,15.017651174505653,3.875261433052698,1.4760673691059205,1.2853466841404533,1.2104611788275565,1.2275574730983645
"GARCH(1,1)",validation,750,22.185766947559255,4.710176955015518,2.3561620652864237,1.62943243104654,2.1342407332578572,1.9923226258746338
"GARCH(1,1)",test,745,13.16405057608862,3.628229675211951,1.407866300612457,1.0629583683305006,1.2104611788275565,1.2544741754263462
ARIMA-GARCH,validation,750,22.290640029544893,4.721296435254293,2.3562430709806486,1.6364838435487945,2.1342407332578572,1.9666954342429883
ARIMA-GARCH,test,745,13.330695175729273,3.651122454222711,1.4145456732793307,1.0659953002392577,1.2104611788275565,1.2496661875208015
