model,split,n_obs,mse,rmse,mae,qlike,mean_actual_var,mean_pred_var
LSTM-LogTarget,validation,750,26.13966204817374,5.1126961623172695,1.9892060331086783,4.440892414785682,2.1342407332578572,0.3964181626463742
LSTM-LogTarget,test,745,14.736945125874346,3.8388728978535283,1.1088059677957303,2.3511506505962454,1.2104611788275565,0.3075200630313937
Hybrid-LogTarget,validation,750,26.42808778750169,5.140825593958785,1.9941586983648116,4.477198762153991,2.1342407332578572,0.3753316020666748
Hybrid-LogTarget,test,745,14.740202157915977,3.8392970916452893,1.1094974757279654,2.1069246661457606,1.2104611788275565,0.3390230584696658
LSTM-QLIKE,validation,750,23.197006492289113,4.816327074886953,2.3612719656907215,1.682560363639397,2.1342407332578572,1.7467329651912054
LSTM-QLIKE,test,745,14.096297355386218,3.7545036097180966,1.7138011313249966,1.187247889767682,1.2104611788275565,1.6664493666399245
Hybrid-QLIKE,validation,750,22.96353516124803,4.79202829303501,2.4205852418538254,1.6646738470293947,2.1342407332578572,1.8880684479872385
Hybrid-QLIKE,test,745,14.336538790103466,3.7863622106321877,1.841543459680507,1.2319076726800817,1.2104611788275565,1.8373984749685197
LSTM-LogTarget-Small,validation,750,27.143619179891864,5.209953855831341,2.0143788015118074,5.035210463993877,2.1342407332578572,0.3349978569154241
LSTM-LogTarget-Small,test,745,14.892530820608094,3.8590841945477288,1.122852914367213,2.2878462185154005,1.2104611788275565,0.3425090119104183
Hybrid-LogTarget-Small,validation,750,26.00857930549008,5.099860714322508,1.9892069404082098,4.0143711388584915,2.1342407332578572,0.42508795465636856
Hybrid-LogTarget-Small,test,745,14.740948838016612,3.839394332185301,1.1093605249092648,2.23918307114992,1.2104611788275565,0.33630361838355616
