model,method,pool,input_model,weight
ComboPair-GARCH11_ARIMAGARCH,two_model_convex_grid,GARCH11_ARIMAGARCH,"GARCH(1,1)",1.0
ComboPair-GARCH11_ARIMAGARCH,two_model_convex_grid,GARCH11_ARIMAGARCH,ARIMA-GARCH,0.0
ComboPair-GARCH11_HybridQLIKE,two_model_convex_grid,GARCH11_HybridQLIKE,"GARCH(1,1)",0.65
ComboPair-GARCH11_HybridQLIKE,two_model_convex_grid,GARCH11_HybridQLIKE,Hybrid-QLIKE,0.35
ComboPair-BestGARCHFamily_HybridQLIKE,two_model_convex_grid,BestGARCHFamily_HybridQLIKE,AdvGARCH-BestARIMA,0.73
ComboPair-BestGARCHFamily_HybridQLIKE,two_model_convex_grid,BestGARCHFamily_HybridQLIKE,Hybrid-QLIKE,0.27
ComboPair-BestGARCHFamily_BestCalibratedNeural,two_model_convex_grid,BestGARCHFamily_BestCalibratedNeural,AdvGARCH-BestARIMA,0.06
ComboPair-BestGARCHFamily_BestCalibratedNeural,two_model_convex_grid,BestGARCHFamily_BestCalibratedNeural,Calibrated-Hybrid-LogTarget-Small-isotonic,0.94
ComboPair-BestRefitGARCH_HybridQLIKE,two_model_convex_grid,BestRefitGARCH_HybridQLIKE,Refit-BestAsymmetric-rolling_1000_monthly,0.77
ComboPair-BestRefitGARCH_HybridQLIKE,two_model_convex_grid,BestRefitGARCH_HybridQLIKE,Hybrid-QLIKE,0.22999999999999998
ComboPair-BestRefitGARCH_BestCalibratedNeural,two_model_convex_grid,BestRefitGARCH_BestCalibratedNeural,Refit-BestAsymmetric-rolling_1000_monthly,0.12
ComboPair-BestRefitGARCH_BestCalibratedNeural,two_model_convex_grid,BestRefitGARCH_BestCalibratedNeural,Calibrated-Hybrid-LogTarget-Small-isotonic,0.88
ComboStack-PoolA_Econometric,multi_model_stacking,PoolA_Econometric,ARIMA-GARCH,4.377466271410224e-17
ComboStack-PoolA_Econometric,multi_model_stacking,PoolA_Econometric,AdvGARCH-BestARIMA,0.2660156747509328
ComboStack-PoolA_Econometric,multi_model_stacking,PoolA_Econometric,"GARCH(1,1)",3.152317816501604e-17
ComboStack-PoolA_Econometric,multi_model_stacking,PoolA_Econometric,Refit-BestAsymmetric-rolling_1000_monthly,0.7339843252490671
ComboMean-PoolA_Econometric,multi_model_mean,PoolA_Econometric,ARIMA-GARCH,0.25
ComboMean-PoolA_Econometric,multi_model_mean,PoolA_Econometric,AdvGARCH-BestARIMA,0.25
ComboMean-PoolA_Econometric,multi_model_mean,PoolA_Econometric,"GARCH(1,1)",0.25
ComboMean-PoolA_Econometric,multi_model_mean,PoolA_Econometric,Refit-BestAsymmetric-rolling_1000_monthly,0.25
ComboMedian-PoolA_Econometric,multi_model_median,PoolA_Econometric,ARIMA-GARCH,
ComboMedian-PoolA_Econometric,multi_model_median,PoolA_Econometric,AdvGARCH-BestARIMA,
ComboMedian-PoolA_Econometric,multi_model_median,PoolA_Econometric,"GARCH(1,1)",
ComboMedian-PoolA_Econometric,multi_model_median,PoolA_Econometric,Refit-BestAsymmetric-rolling_1000_monthly,
ComboStack-PoolB_GARCH_Neural,multi_model_stacking,PoolB_GARCH_Neural,ARIMA-GARCH-LSTM,2.964530612095326e-17
ComboStack-PoolB_GARCH_Neural,multi_model_stacking,PoolB_GARCH_Neural,Hybrid-QLIKE,0.23424509554396258
ComboStack-PoolB_GARCH_Neural,multi_model_stacking,PoolB_GARCH_Neural,LSTM-QLIKE,1.4263187798815163e-17
ComboStack-PoolB_GARCH_Neural,multi_model_stacking,PoolB_GARCH_Neural,Refit-BestAsymmetric-rolling_1000_monthly,0.7657549044560373
