model,proxy_count,average_qlike_rank,best_rank,worst_rank,rank_std,top1_proxy_count,top3_proxy_count,top5_proxy_count,average_pred_actual_ratio,average_spike_underprediction_rate,model_count_max,classification
AdvGARCH-BestAsymmetric,7,3.2857142857142856,1.0,13.0,4.095791767666129,4,5,6,1.2210438344548182,0.7714285714285714,73,robust_top_model
AdvGARCH-BestHeavyTail,7,4.428571428571429,2.0,14.0,4.135461378894322,0,5,5,1.2401599882847216,0.7295238095238096,73,robust_top_model
AdvGARCH-BestARIMA,7,4.714285714285714,3.0,10.0,2.5475077857324298,0,4,5,1.2177544967711678,0.7523809523809524,73,middle_ranked_model
AdvGARCH-BestQLIKE,7,4.714285714285714,3.0,10.0,2.5475077857324298,0,4,5,1.2177544967711678,0.7523809523809524,73,middle_ranked_model
Refit-BestGARCHFamily-fixed_train_only,7,4.714285714285714,3.0,10.0,2.5475077857324298,0,4,5,1.2177544967711678,0.7523809523809524,73,middle_ranked_model
ComboPair-GARCH11_ARIMAGARCH,7,7.0,1.0,15.0,4.0,1,1,2,1.3481925444334308,0.7066666666666667,73,middle_ranked_model
"GARCH(1,1)",7,7.0,1.0,15.0,4.0,1,1,2,1.3481925444334308,0.7066666666666667,73,middle_ranked_model
AdvGARCH-BestSymmetric,7,7.142857142857143,2.0,17.0,4.5175395145262565,0,2,2,1.3481397754875253,0.7104761904761905,73,middle_ranked_model
ComboMedian-PoolA_Econometric,7,8.0,6.0,10.0,1.7728105208558367,0,0,0,1.311778216831669,0.7123809523809524,73,middle_ranked_model
ARIMA-GARCH,7,9.714285714285714,3.0,19.0,4.712120714991612,0,1,2,1.3429536257002528,0.6971428571428572,73,middle_ranked_model
ComboMean-PoolA_Econometric,7,10.285714285714286,9.0,11.0,0.880630571852711,0,0,0,1.3317537466804286,0.7142857142857143,73,middle_ranked_model
Refit-OriginalGARCH-expanding_quarterly,7,11.714285714285714,7.0,13.0,1.979486637221574,0,0,0,1.392933316555888,0.7066666666666668,73,middle_ranked_model
Refit-OriginalARIMAGARCH-expanding_quarterly,7,12.714285714285714,8.0,14.0,1.979486637221574,0,0,0,1.3869311988635131,0.7123809523809524,73,middle_ranked_model
