model,split,threshold_level,threshold_value,threshold_source,spike_days,spike_underprediction_rate,severe_spike_underprediction_rate,average_pred_actual_ratio_spike_days,top_k_spike_capture_rate,qlike_spike_days
ARIMA-GARCH,test,0.9,3.389562685210185,train_validation_actual_var_quantile,45,1.0,0.8666666666666667,0.2680211409284803,0.13333333333333333,9.402924480598092
ARIMA-GARCH-LSTM,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,1.0,0.9069767441860465,0.28548652200750496,0.16279069767441862,6.608804073308994
AdvGARCH-BestARIMA,test,0.9,3.389562685210185,train_validation_actual_var_quantile,45,1.0,0.8888888888888888,0.25083340342678395,0.17777777777777778,9.390543843047487
AdvGARCH-BestAsymmetric,test,0.9,3.389562685210185,train_validation_actual_var_quantile,45,1.0,0.8888888888888888,0.25140241499213595,0.13333333333333333,9.36603979846991
AdvGARCH-BestHeavyTail,test,0.9,3.389562685210185,train_validation_actual_var_quantile,45,1.0,0.8666666666666667,0.26335645846250866,0.15555555555555556,9.372231051798687
AdvGARCH-BestQLIKE,test,0.9,3.389562685210185,train_validation_actual_var_quantile,45,1.0,0.8888888888888888,0.25083340342678395,0.17777777777777778,9.390543843047487
AdvGARCH-BestSymmetric,test,0.9,3.389562685210185,train_validation_actual_var_quantile,45,1.0,0.8666666666666667,0.2738307312452799,0.13333333333333333,9.411279594063371
Calibrated-ARIMA-GARCH-LSTM-affine_nonnegative,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,1.0,0.9069767441860465,0.2911046792411712,0.16279069767441862,6.513638679940135
Calibrated-ARIMA-GARCH-LSTM-isotonic,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,1.0,0.9302325581395349,0.2650310839132818,0.11627906976744186,7.181959520769147
Calibrated-ARIMA-GARCH-LSTM-scale_mean,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,1.0,0.8837209302325582,0.3127963614684843,0.16279069767441862,6.181480959736145
Calibrated-ARIMA-GARCH-LSTM-scale_qlike,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,1.0,0.9069767441860465,0.2921363573608853,0.16279069767441862,6.4966015297986575
Calibrated-Hybrid-LogTarget-Small-affine_nonnegative,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,1.0,0.8837209302325582,0.29662195285204895,0.13953488372093023,6.719824793155126
Calibrated-Hybrid-LogTarget-Small-isotonic,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,1.0,0.8837209302325582,0.29682842924446956,0.20930232558139536,7.061926544238773
Calibrated-Hybrid-LogTarget-Small-scale_mean,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,1.0,0.8837209302325582,0.3009464491008958,0.13953488372093023,6.647387982177836
Calibrated-Hybrid-LogTarget-Small-scale_qlike,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,1.0,0.8837209302325582,0.29457837861474684,0.13953488372093023,6.754869630134624
Calibrated-Hybrid-LogTarget-affine_nonnegative,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,0.9767441860465116,0.8837209302325582,0.32997231315140074,0.18604651162790697,5.927188576947755
Calibrated-Hybrid-LogTarget-isotonic,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,0.9534883720930233,0.7441860465116279,0.35558900525136355,0.16279069767441862,6.103056675457957
Calibrated-Hybrid-LogTarget-scale_mean,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,0.9767441860465116,0.8837209302325582,0.3436390719368573,0.18604651162790697,5.763367371165186
Calibrated-Hybrid-LogTarget-scale_qlike,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,0.9767441860465116,0.8837209302325582,0.33306089715622195,0.18604651162790697,5.888844198901345
Calibrated-Hybrid-QLIKE-affine_nonnegative,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,1.0,0.9069767441860465,0.30795508442501746,0.18604651162790697,6.119268543752582
Calibrated-Hybrid-QLIKE-isotonic,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,1.0,0.813953488372093,0.3279622087554634,0.16279069767441862,6.486909206635495
Calibrated-Hybrid-QLIKE-scale_mean,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,1.0,0.813953488372093,0.3320413478878593,0.18604651162790697,5.804921646032535
Calibrated-Hybrid-QLIKE-scale_qlike,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,1.0,0.9069767441860465,0.3044905234261213,0.18604651162790697,6.169073333562806
Calibrated-LSTM-LogTarget-Small-affine_nonnegative,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,1.0,0.8604651162790697,0.32938222593569166,0.13953488372093023,5.898155762186412
Calibrated-LSTM-LogTarget-Small-isotonic,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,0.9767441860465116,0.813953488372093,0.3901111154077279,0.13953488372093023,5.752205338663979
Calibrated-LSTM-LogTarget-Small-scale_mean,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,1.0,0.8372093023255814,0.34555170733824464,0.13953488372093023,5.707568239297404
Calibrated-LSTM-LogTarget-Small-scale_qlike,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,1.0,0.8604651162790697,0.32831956649040867,0.13953488372093023,5.91142199755674
Calibrated-LSTM-LogTarget-affine_nonnegative,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,0.9767441860465116,0.8372093023255814,0.30793342925857087,0.18604651162790697,6.274418591194324
Calibrated-LSTM-LogTarget-isotonic,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,0.9767441860465116,0.8372093023255814,0.32230441009612004,0.18604651162790697,6.179677053309712
Calibrated-LSTM-LogTarget-scale_mean,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,0.9767441860465116,0.8604651162790697,0.30372296895545897,0.18604651162790697,6.352749536189229
Calibrated-LSTM-LogTarget-scale_qlike,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,0.9767441860465116,0.8372093023255814,0.31035307642062443,0.18604651162790697,6.253335035614479
Calibrated-LSTM-QLIKE-affine_nonnegative,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,1.0,0.9069767441860465,0.296620474662126,0.20930232558139536,6.202625833141673
Calibrated-LSTM-QLIKE-isotonic,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,1.0,0.8837209302325582,0.28139599272524785,0.20930232558139536,6.5618339443575255
Calibrated-LSTM-QLIKE-scale_mean,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,1.0,0.8604651162790697,0.31819152827008507,0.20930232558139536,5.900876890041068
Calibrated-LSTM-QLIKE-scale_qlike,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,1.0,0.9069767441860465,0.2935827796237223,0.20930232558139536,6.249101405559105
Calibrated-LSTM-affine_nonnegative,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,1.0,0.9302325581395349,0.2827851393272535,0.16279069767441862,6.556202834717372
Calibrated-LSTM-isotonic,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,1.0,0.9069767441860465,0.2570101879286073,0.09302325581395349,7.197076273211443
Calibrated-LSTM-scale_mean,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,1.0,0.9069767441860465,0.30268382542149147,0.16279069767441862,6.236773069245619
Calibrated-LSTM-scale_qlike,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,1.0,0.9302325581395349,0.2853550942180614,0.16279069767441862,6.512173671874325
ComboMean-PoolA_Econometric,test,0.9,3.389562685210185,train_validation_actual_var_quantile,45,1.0,0.8666666666666667,0.2726888759099181,0.13333333333333333,9.143190734229716
ComboMean-PoolB_GARCH_Neural,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,1.0,0.8837209302325582,0.28730294865650574,0.18604651162790697,6.484420374855532
ComboMean-PoolC_GARCH_CalibratedNeural,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,1.0,0.8372093023255814,0.30976683664619087,0.18604651162790697,6.959259861548021
ComboMean-PoolD_AllStable,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,1.0,0.8837209302325582,0.29731288307621107,0.18604651162790697,6.397027032306174
ComboMedian-PoolA_Econometric,test,0.9,3.389562685210185,train_validation_actual_var_quantile,45,1.0,0.8666666666666667,0.2679942964089735,0.13333333333333333,9.279172682524852
ComboMedian-PoolB_GARCH_Neural,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,1.0,0.9069767441860465,0.28257044681119603,0.13953488372093023,6.561921810506482
ComboMedian-PoolC_GARCH_CalibratedNeural,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,1.0,0.8372093023255814,0.3075683196278738,0.18604651162790697,7.038252130911791
ComboMedian-PoolD_AllStable,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,1.0,0.8837209302325582,0.2988165274366547,0.18604651162790697,6.297531903894158
ComboPair-BestGARCHFamily_BestCalibratedNeural,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,1.0,0.8837209302325582,0.2943846942614483,0.13953488372093023,7.123060071480708
ComboPair-BestGARCHFamily_HybridQLIKE,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,1.0,0.8837209302325582,0.26729370207685793,0.16279069767441862,7.59577029954225
ComboPair-BestRefitGARCH_BestCalibratedNeural,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,1.0,0.8837209302325582,0.29775020236777,0.13953488372093023,7.109741654264459
ComboPair-BestRefitGARCH_HybridQLIKE,test,0.9,3.389562685210185,train_validation_actual_var_quantile,43,1.0,0.8372093023255814,0.3029112801644269,0.18604651162790697,7.399509151329095
ComboPair-GARCH11_ARIMAGARCH,test,0.9,3.389562685210185,train_validation_actual_var_quantile,45,1.0,0.8666666666666667,0.2732698235057033,0.13333333333333333,9.406015571767691
