model,var_level,var_distribution,distribution_specific_quantile_available,n_obs,observed_violations,expected_violations,violation_rate,kupiec_stat,kupiec_p_value,christoffersen_independence_stat,christoffersen_independence_p_value,christoffersen_conditional_coverage_stat,christoffersen_conditional_coverage_p_value,violation_cluster_count,max_violation_cluster_length,mean_violation_cluster_length,basel_traffic_light_zone,interpretation,normal_quantile,n00,n01,n10,n11
Calibrated-ARIMA-GARCH-LSTM-scale_mean,0.01,common_normal,False,726,8,7.26,0.011019283746556474,0.07374955596091581,0.7859536730547492,0.17852532210802963,0.6726436302339123,0.25227487806894544,0.8814936868163425,8,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,709,8,8,0
Calibrated-Hybrid-LogTarget-isotonic,0.01,common_normal,False,726,8,7.26,0.011019283746556474,0.07374955596091581,0.7859536730547492,0.17852532210802963,0.6726436302339123,0.25227487806894544,0.8814936868163425,8,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,709,8,8,0
Calibrated-Hybrid-QLIKE-affine_nonnegative,0.01,common_normal,False,726,8,7.26,0.011019283746556474,0.07374955596091581,0.7859536730547492,0.17852532210802963,0.6726436302339123,0.25227487806894544,0.8814936868163425,8,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,709,8,8,0
Calibrated-Hybrid-QLIKE-scale_mean,0.01,common_normal,False,726,8,7.26,0.011019283746556474,0.07374955596091581,0.7859536730547492,0.17852532210802963,0.6726436302339123,0.25227487806894544,0.8814936868163425,8,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,709,8,8,0
Calibrated-LSTM-QLIKE-scale_mean,0.01,common_normal,False,726,8,7.26,0.011019283746556474,0.07374955596091581,0.7859536730547492,0.17852532210802963,0.6726436302339123,0.25227487806894544,0.8814936868163425,8,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,709,8,8,0
Calibrated-Hybrid-LogTarget-scale_mean,0.01,common_normal,False,726,9,7.26,0.012396694214876033,0.3914212480104027,0.5315532780578027,0.22626294172521,0.6343087533076419,0.6176841897356127,0.7342967100913331,9,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,707,9,9,0
Calibrated-Hybrid-QLIKE-scale_qlike,0.01,common_normal,False,726,9,7.26,0.012396694214876033,0.3914212480104027,0.5315532780578027,0.22626294172521,0.6343087533076419,0.6176841897356127,0.7342967100913331,9,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,707,9,9,0
Calibrated-LSTM-LogTarget-Small-isotonic,0.01,common_normal,False,726,9,7.26,0.012396694214876033,0.3914212480104027,0.5315532780578027,0.22626294172521,0.6343087533076419,0.6176841897356127,0.7342967100913331,9,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,707,9,9,0
Calibrated-LSTM-LogTarget-Small-scale_mean,0.01,common_normal,False,726,9,7.26,0.012396694214876033,0.3914212480104027,0.5315532780578027,0.22626294172521,0.6343087533076419,0.6176841897356127,0.7342967100913331,9,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,707,9,9,0
Calibrated-ARIMA-GARCH-LSTM-affine_nonnegative,0.01,common_normal,False,726,10,7.26,0.013774104683195593,0.934564083897385,0.33367975228748753,0.27972939969542665,0.5968786325944905,1.2142934835928116,0.5449034032362579,10,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,705,10,10,0
Calibrated-ARIMA-GARCH-LSTM-scale_qlike,0.01,common_normal,False,726,10,7.26,0.013774104683195593,0.934564083897385,0.33367975228748753,0.27972939969542665,0.5968786325944905,1.2142934835928116,0.5449034032362579,10,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,705,10,10,0
Calibrated-Hybrid-LogTarget-Small-affine_nonnegative,0.01,common_normal,False,726,10,7.26,0.013774104683195593,0.934564083897385,0.33367975228748753,0.27972939969542665,0.5968786325944905,1.2142934835928116,0.5449034032362579,10,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,705,10,10,0
Calibrated-Hybrid-LogTarget-Small-scale_mean,0.01,common_normal,False,726,10,7.26,0.013774104683195593,0.934564083897385,0.33367975228748753,0.27972939969542665,0.5968786325944905,1.2142934835928116,0.5449034032362579,10,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,705,10,10,0
Calibrated-Hybrid-LogTarget-Small-scale_qlike,0.01,common_normal,False,726,10,7.26,0.013774104683195593,0.934564083897385,0.33367975228748753,0.27972939969542665,0.5968786325944905,1.2142934835928116,0.5449034032362579,10,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,705,10,10,0
Calibrated-Hybrid-LogTarget-affine_nonnegative,0.01,common_normal,False,726,10,7.26,0.013774104683195593,0.934564083897385,0.33367975228748753,0.27972939969542665,0.5968786325944905,1.2142934835928116,0.5449034032362579,10,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,705,10,10,0
Calibrated-Hybrid-LogTarget-scale_qlike,0.01,common_normal,False,726,10,7.26,0.013774104683195593,0.934564083897385,0.33367975228748753,0.27972939969542665,0.5968786325944905,1.2142934835928116,0.5449034032362579,10,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,705,10,10,0
Calibrated-LSTM-LogTarget-Small-affine_nonnegative,0.01,common_normal,False,726,10,7.26,0.013774104683195593,0.934564083897385,0.33367975228748753,0.27972939969542665,0.5968786325944905,1.2142934835928116,0.5449034032362579,10,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,705,10,10,0
Calibrated-LSTM-LogTarget-Small-scale_qlike,0.01,common_normal,False,726,10,7.26,0.013774104683195593,0.934564083897385,0.33367975228748753,0.27972939969542665,0.5968786325944905,1.2142934835928116,0.5449034032362579,10,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,705,10,10,0
Calibrated-LSTM-LogTarget-affine_nonnegative,0.01,common_normal,False,726,10,7.26,0.013774104683195593,0.934564083897385,0.33367975228748753,0.27972939969542665,0.5968786325944905,1.2142934835928116,0.5449034032362579,10,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,705,10,10,0
Calibrated-LSTM-LogTarget-scale_mean,0.01,common_normal,False,726,10,7.26,0.013774104683195593,0.934564083897385,0.33367975228748753,0.27972939969542665,0.5968786325944905,1.2142934835928116,0.5449034032362579,10,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,705,10,10,0
Calibrated-LSTM-LogTarget-scale_qlike,0.01,common_normal,False,726,10,7.26,0.013774104683195593,0.934564083897385,0.33367975228748753,0.27972939969542665,0.5968786325944905,1.2142934835928116,0.5449034032362579,10,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,705,10,10,0
Calibrated-LSTM-QLIKE-affine_nonnegative,0.01,common_normal,False,726,10,7.26,0.013774104683195593,0.934564083897385,0.33367975228748753,0.27972939969542665,0.5968786325944905,1.2142934835928116,0.5449034032362579,10,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,705,10,10,0
Calibrated-LSTM-QLIKE-isotonic,0.01,common_normal,False,726,10,7.26,0.013774104683195593,0.934564083897385,0.33367975228748753,0.27972939969542665,0.5968786325944905,1.2142934835928116,0.5449034032362579,10,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,705,10,10,0
Calibrated-LSTM-QLIKE-scale_qlike,0.01,common_normal,False,726,10,7.26,0.013774104683195593,0.934564083897385,0.33367975228748753,0.27972939969542665,0.5968786325944905,1.2142934835928116,0.5449034032362579,10,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,705,10,10,0
Calibrated-LSTM-scale_mean,0.01,common_normal,False,726,10,7.26,0.013774104683195593,0.934564083897385,0.33367975228748753,0.27972939969542665,0.5968786325944905,1.2142934835928116,0.5449034032362579,10,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,705,10,10,0
