model,n_obs,mean_actual_var,mean_pred_var,pred_actual_ratio,RMSE,MAE,QLIKE,high_vol_QLIKE,extreme_vol_QLIKE,spike_underprediction_rate
HistoricalMean,726,1.2119119537615395,1.198772908441445,0.9891584159399422,3.7997057146492432,1.4491530591621669,1.192258869598565,3.6059027517323554,6.820219439989177,1.0
RollingVol-5,726,1.2119119537615395,1.2018147037722362,0.9916683303948249,4.011383430769533,1.4923936644649038,1.9280092583513804,6.904087349037996,10.37078046942451,0.863013698630137
RollingVol-10,726,1.2119119537615395,1.2185407392830263,1.0054696923327742,3.974128838655284,1.4788908535787506,1.3099642992305265,5.111308046409397,8.835229191950626,0.9315068493150684
RollingVol-20,726,1.2119119537615395,1.208200177193738,0.9969372555850441,3.901051130325355,1.4621959887598153,1.2806348843535529,4.879529171574953,8.917016822542253,0.9315068493150684
"GARCH(1,1)",726,1.2119119537615395,1.2413202424783485,1.024266027433372,3.6488390056079916,1.3939092832794717,1.0528883385999728,3.768531949981455,6.765874035642129,0.9452054794520548
ARIMA-GARCH,726,1.2119119537615395,1.2360802749299291,1.0199423077669758,3.6718159238110126,1.400256179955508,1.055678688239123,3.764806061802269,6.769566430571942,0.9452054794520548
LSTM,726,1.2119119537615395,1.5685885013299212,1.2943089606974558,3.7697162146360066,1.6397344591598928,1.1610005135850472,2.89907614176903,5.099183643837867,1.0
ARIMA-GARCH-LSTM,726,1.2119119537615395,1.701790788777932,1.4042198226495775,3.7632527171713455,1.7201126142672403,1.1686091687616968,2.787717373503808,4.79289611043111,1.0
LSTM-LogTarget,726,1.2119119537615395,0.3095198615556065,0.25539797721684065,3.866882195152324,1.1086255618796224,2.301501785580888,10.390189307891994,20.255728986759802,1.0
Hybrid-LogTarget,726,1.2119119537615395,0.3394889296120576,0.2801267274890308,3.867812570832169,1.1092997951469603,2.0863595613632993,9.484415426502558,18.631208583301095,1.0
LSTM-QLIKE,726,1.2119119537615395,1.6669797831658817,1.3754957841548636,3.7824845578550947,1.7140734751998588,1.1858763490651132,2.823816820009892,4.909112308355295,1.0
Hybrid-QLIKE,726,1.2119119537615395,1.8776064628411915,1.549292798881524,3.807295921789446,1.862578359682915,1.2305083298195814,2.6993621258719003,4.570474550398699,0.9863013698630136
LSTM-LogTarget-Small,726,1.2119119537615395,0.3427646517753371,0.28282966490384237,3.888175741538346,1.1235456755796545,2.2814987601126595,10.204657789548277,20.278419969423833,1.0
Hybrid-LogTarget-Small,726,1.2119119537615395,0.33366970656845735,0.275325039523549,3.8680675726207743,1.1081647402489878,2.232917375355168,10.079214182010325,19.92922005500072,1.0
